design_class,l_max_kg_per_m,s_max_kg_per_m,design_rows,feasible_design_rows,feasible_fraction,minimum_transition_count,maximum_minimum_segment_cells,maximum_adjacent_slope_change_deg
geometry,159.675379,122.351575,62,0,0.0,16,1,3.2700164916236822
geometry,160.225268,121.440848,80,0,0.0,16,1,3.047938126471124
geometry,164.906724,112.007946,17,0,0.0,16,1,3.024383513853788
geometry,170.486727,111.604524,49,0,0.0,15,1,2.9037220652093403
geometry,172.731155,105.857752,11,0,0.0,15,1,1.4007529524147913
geometry,175.322442,105.133821,19,0,0.0,15,1,3.216575760629958
geometry,4579.685006,97.993464,1,0,0.0,22,1,4.508467065590804
geometry,4587.51281,97.535125,2,0,0.0,18,1,4.500076956157624
geometry,4592.057502,97.355691,5,0,0.0,23,1,4.432074341556962
geometry,4593.2852,87.462033,6,0,0.0,16,1,4.12941046361842
geometry,4593.2852,89.903534,8,0,0.0,16,1,3.848492093407984
geometry,4833.040494,82.595882,7,0,0.0,17,1,5.106058761976286
geometry,4848.158506,80.238402,11,0,0.0,19,1,5.14801994129099
geometry,4848.158506,81.010938,35,0,0.0,18,1,5.333580174251111
geometry,6416.968119,0.0,7,0,0.0,17,1,4.944042638015038
joint,79.999,79.999,1904,9,0.004726890756302521,1,6,4.367115876117438
joint,2941.908296,43.332792,1,0,0.0,23,1,4.309360368279805
joint,3210.635971,39.9995,1,0,0.0,23,1,4.466405912757271
joint,4546.213987,26.449593,1,0,0.0,20,1,4.544666653003205
joint,4546.255476,23.333042,1,0,0.0,17,1,4.312163645617552
joint,5082.200296,16.666458,2,0,0.0,20,1,4.389359152446691
joint,5617.95481,13.270188,1,0,0.0,20,1,4.250477368327719
joint,6416.968119,0.0,17,0,0.0,16,1,3.5310582552716667
surface,79.999,79.999,1679,1452,0.8648004764740918,0,24,0.0
surface,6416.968119,0.0,52,0,0.0,2,2,0.0
uniform,79.999,79.999,530,530,1.0,0,24,0.0
uniform,6416.968119,0.0,2382,2382,1.0,0,24,0.0
