sample,candidate_id,design_class,nominal_knee,nominal_l_max_kg_per_m,nominal_s_max_kg_per_m,friction_factor,adhesion_factor,density_factor,snowfall_factor,temperature_shift_c,design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count
0,uniform_00,uniform,True,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_00,7102.934879381091,433.7718946374467,0.02353490893338327,4084.187577576973,797.5666497968265,14.666666666666666,18.124552583152166,14.368183630527987,2196.1541939953668,194.0,0.6666666666666666,3255.2943489961176,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_01,uniform,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_01,88.55080420163343,88.55080420163347,0.012964492182893368,4084.187577576973,4056.39015644634,167.0,23.61324171949028,15.051604565621247,100921.35821722094,0.0,0.0,0.0,0.09528120016563614,9.094947017729282e-13,0.0,0.0,0,0
0,uniform_02,uniform,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_02,88.55080420163343,88.55080420163347,0.012964492182893368,4084.187577576973,4056.39015644634,167.0,23.61324171949028,15.051604565621247,23725.028022260318,0.0,0.0,0.0,0.09528120016563614,9.094947017729282e-13,0.0,0.0,0,0
0,uniform_03,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_03,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_04,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_04,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_05,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_05,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_06,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_06,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_07,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_07,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_08,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_08,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_09,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_09,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_10,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_10,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,uniform_11,uniform,False,6416.968118859608,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,uniform_11,7102.934879381091,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,286.6666666666667,1.3333333333333333,3942.7009683897254,5.762188413148001,2.2737367544323206e-12,0.0,0.0,0,0
0,joint_00,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_00,88.55080420163343,88.55080420163347,0.016083445106498805,4084.187577576973,4030.6709373677736,75.66666666666667,50.646223603453116,50.70459150793514,108420.76943230718,0.0,0.0,15.479946741450789,0.5706624805114733,1.3642420526593924e-12,18.7372251536012,0.5017536209585265,23,23
0,joint_01,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_01,121.44981398903727,105.96775063165254,0.015231490032285225,4084.187577576973,4031.3511878933946,81.33333333333333,46.96418052188949,46.60763822676327,146047.5822661343,0.0,0.0,13.275273127959048,2.5055250211001345,1.2363443602225743e-12,6.7137092103465505,0.5067546470458755,23,23
0,joint_02,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_02,88.55080420163343,88.55080420163347,0.014051639239019684,4084.187577576973,4032.7232454612044,113.33333333333333,33.99039402888251,35.151631486527414,123160.22046628695,0.0,0.0,9.727925417364107,0.09528120016563614,1.3429257705865894e-12,20.229482716700453,0.7219917107209904,23,23
0,joint_03,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_03,88.55080420163343,88.55080420163347,0.014395354452646655,4084.187577576973,4038.48276130251,112.66666666666667,34.32836127810415,37.13862728523745,138437.35906669605,0.0,0.0,6.338785217543592,0.09528120016563614,1.3642420526593924e-12,7.950372005099389,0.9964261056302594,23,23
0,joint_04,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_04,88.55080420163343,88.55080420163347,0.013271514639298182,4084.187577576973,4050.3680196410205,121.66666666666667,31.8543442262704,29.33673879092306,152482.67660421904,0.0,0.0,3.9141827335571637,0.09528120016563614,1.13509202037676e-12,18.121190429325573,0.34935925731284295,23,23
0,joint_05,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_05,88.55080420163343,88.55080420163347,0.01333838536642022,4084.187577576973,4045.7709204340645,108.33333333333333,35.50627664618743,34.2001624985018,147677.6161830322,0.0,0.0,5.866749278634604,0.11578620512706647,9.485745522397337e-13,4.264057942321557,0.5053347539608579,23,23
0,joint_06,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_06,88.55080420163343,88.55080420163347,0.014091334422013971,4084.187577576973,4046.7465825380746,88.0,43.48043118664722,43.273990731407935,117824.84873688074,0.0,0.0,3.34746305806306,0.5456656725788808,2.0170531911389844e-12,17.386658173127362,0.3041900148228992,23,23
0,joint_07,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_07,88.55080420163343,88.55080420163347,0.01557203490715392,4084.187577576973,4022.8758933829304,78.33333333333333,48.59893697261273,48.51389975617324,97526.69708379498,0.0,0.0,21.750567638423032,0.7405262603592718,1.2363443602225743e-12,9.372121488903574,0.5290318542324154,23,23
0,joint_08,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_08,88.55080420163343,88.55080420163347,0.013993151946949755,4084.187577576973,4049.3409221142633,88.66666666666667,43.14721024011421,44.05392202040239,103336.15440261732,0.0,0.0,4.129416569084436,0.5456656725788808,1.7053025658242404e-12,24.25618164468782,0.5103573532944928,23,23
0,joint_09,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_09,88.55080420163343,88.55080420163347,0.013835337934364757,4084.187577576973,4040.6771331165314,91.0,42.224394172099096,41.45857156466294,143523.60095887602,0.0,0.0,9.230767527144225,0.32751962538431073,1.3216094885137863e-12,16.20723945126784,0.5538089416523566,23,23
0,joint_10,joint,False,79.99900000642742,79.99900000642742,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_10,88.55080420163343,88.55080420163347,0.013625568075496567,4084.187577576973,4041.167047130402,94.66666666666667,40.72630422956377,39.66273990738224,133418.92554700118,0.0,0.0,5.81361371748752,0.09528120016563614,1.3642420526593924e-12,24.31424063968695,0.11485892339271077,23,23
0,joint_11,joint,True,3210.6359712948574,39.99950000321371,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_11,3554.2542476529934,159.13061121310082,0.01340173470658833,4084.187577576973,1990.5669706522747,141.0,13.531535532168625,10.661033837428455,32833.44995261408,208.66666666666666,1.6666666666666667,2009.9122472409217,22.471271228758752,1.3642420526593924e-12,70.5175084633931,0.6144863547234052,23,23
0,joint_12,joint,False,6416.9681188596,0.0,1.1640468451205053,0.7898830820413296,0.9680862634288621,1.1068988886675948,0.3886182058848444,joint_12,7102.93487938109,0.0,0.0,4084.187577576973,0.0,0.0,0.0,0.0,0.0,289.3333333333333,1.0,4027.8781827246726,118.93858047019995,3.637978807091713e-12,47.092928977633576,0.6041598131281516,23,23
