generation,l_max_kg_per_m,s_max_kg_per_m,constraint,x_00,x_01,x_02,x_03,x_04,x_05,x_06,x_07
2,3351.3464803324723,205.02119266748278,-12.0,0.5385597301391232,0.64388386452591,0.3583538670318118,0.08935908286975373,130.5960168801607,55.39537135071801,180.15631719605406,197.50334474251213
2,6416.968118859602,0.0,-12.0,0.11657139748276221,0.2897051035274169,0.37387181803048386,0.6298242135497422,47.340011243055315,153.2928850559109,25.890738516721633,89.91470908310836
2,6416.968118859602,0.0,-12.0,0.24689483011510227,0.1432156123252118,0.4533464537511417,0.6210250929207539,21.55513573295745,209.22307822603327,36.9557076940506,192.04288790626958
2,330.85690515300865,220.57127010200568,-12.0,0.2825567213332779,0.14696057537797064,0.21297163381999062,0.3432803460824752,161.13736666115398,114.057194065883,79.53775210668046,183.5359859923865
2,221.1179976489553,221.1179976489554,-12.0,0.09559951382366473,0.2657615569741476,0.09122795382152954,0.4283233761748511,74.59317738968102,83.81456978434545,18.87874343631635,64.5031812307926
2,5165.439790760671,218.79398694875997,-12.0,0.48217002103899737,0.5159489524439821,0.5916360963811182,0.36050131095772947,168.1857056638775,19.673745242861695,201.83418622810302,91.57982663073739
2,6416.968118859604,0.0,-12.0,0.11386571108066135,0.18010743207963148,0.5016382378474419,0.5674599657194652,102.59447890967257,201.90945425760708,67.34402299078191,247.12930692322126
2,1117.3909393402703,292.7217646380717,-12.0,0.6476568702512361,0.2288322242968691,0.2461079020720301,0.29151397961795683,45.65481834536589,98.13152053518229,91.79870052731512,18.119756719435692
2,4593.657220926131,242.74630826751576,-12.0,0.17990542624237393,0.6161898391592183,0.5486837409516158,0.1294810405189278,171.6060771465249,185.82132439777544,180.26716694240247,106.78874441862263
2,381.09477827763646,316.2515582578504,-12.0,0.2539168568189499,0.2346210994013399,0.09251613671811024,0.3962525656699974,118.32093399630139,131.42507814551826,31.844126802379662,188.82100490182543
2,6416.9681188596105,0.0,-12.0,0.5386523792672342,0.4148694077534206,0.6091655446190323,0.649264961112357,19.57636282981709,167.4233796904772,3.138080301236801,247.9023729233881
2,6416.9681188596105,0.0,-12.0,0.392729275154854,0.22161805901121406,0.6054307134594833,0.552022741653119,174.9172237702241,222.78528948292896,117.41660515652703,130.6752960030524
2,4790.637938112859,270.1724477423285,-12.0,0.20373145652516672,0.4034557931718273,0.5881655001218957,0.16556441020981938,246.63240394097824,16.57236529864847,138.40979000853372,149.33094700659828
2,464.30258276042133,316.6868988714255,-12.0,0.4342039513757289,0.16006110668155482,0.25422168571402237,0.27855136264993297,59.053922375984726,137.76960948833366,110.22504379272446,12.378592416730754
2,6416.968118859612,0.0,-12.0,0.16506210586839454,0.5988895333823715,0.2899501243385479,0.5976494702207278,119.64509588298789,127.04228180351043,155.8555561490229,40.106521768150245
2,5061.457201759075,275.77682227157203,-12.0,0.14660143485352217,0.3435585003082316,0.5975076957739724,0.36673107947975503,230.8553286978621,119.9471602423617,33.263498534718245,101.29186306488467
2,606.114082964783,606.1140829647826,-12.0,0.29939175007657653,0.3516180878538017,0.10599378935721446,0.2930223561682027,223.95038346729993,192.9637910626289,13.254260505025012,179.7017381127149
2,738.6702714762994,365.9981553528099,-12.0,0.500959625811451,0.26634134170427165,0.19641079536440414,0.09245638483994864,18.587108012948356,230.32359496753173,89.46446429954521,157.51353353350632
2,657.8544568814754,657.8544568814752,-12.0,0.23613264852028104,0.3635145162208379,0.23881760577499095,0.34107000247647606,190.32153513782214,110.67103612199224,228.4167726083114,35.33603881036013
2,689.6372991216883,656.826896350212,-12.0,0.4262052964381006,0.37595447465763754,0.2918803215794763,0.4062970808696885,0.878730813412304,233.10577471820827,37.61557997031403,228.0389996797962
2,980.3381943505755,480.6142966235852,-12.0,0.13061224276448252,0.46917224222518666,0.22372300995053873,0.18680977136045196,171.29948749232386,17.784791214077583,48.198091980316356,159.84825938272144
2,3165.2530760526797,400.0889608408711,-12.0,0.546736091673903,0.5164071528919191,0.4271463234815387,0.3308532407261155,59.95075578386555,176.47953583237253,84.22273838938251,52.23981958993776
2,810.3805492341244,810.3805492341244,-12.0,0.2839832888268835,0.37769088886777935,0.43983087394961756,0.43253811587124075,147.20258899333425,87.59916250806549,114.4065857700825,51.09655348549799
2,2003.0820147569016,714.8087023856787,-12.0,0.23478376236130472,0.4340098898395648,0.4454070303767827,0.20826253993220017,180.3380177192089,131.12231712173468,202.549398060729,152.45641914975081
2,2592.6426293534,605.0782872781016,-12.0,0.41811653831986256,0.5464473542674575,0.1860554640762088,0.16953712898714013,69.14418665879978,122.31589830762721,142.2828896704042,195.0648089548908
2,3185.0310808890654,409.596920131997,-12.0,0.3527821158554887,0.5604351879251314,0.33802910705450573,0.19403402606508346,187.52075440364413,183.18347308970633,218.14325994961823,92.76549424417074
2,944.1950221418717,864.2319089503368,-12.0,0.20682615419262756,0.4204266889837538,0.2665491816058613,0.39279673515363284,153.18358460792487,239.31745516631463,15.107516135998672,146.39082876347067
2,6416.968118859604,419.31970852324946,-12.0,0.20951775908420167,0.3618355837256571,0.47490144775994786,0.5779676687379411,4.519758534509588,248.72028220520056,172.0108838718051,57.37410535019596
2,5114.587176731075,836.9682877779086,-12.0,0.31897642057962344,0.5467272555456117,0.5645885295950391,0.43478407638860944,94.6527496431126,57.485519492556456,88.00987298941398,17.250599545017455
2,6312.56699746766,598.9563625058944,-12.0,0.6312122230607335,0.3490973377836931,0.5615854214287184,0.5010643937879355,200.43172860881822,135.81166206380146,152.3692558765912,151.63035955930692
2,1823.9988642543267,899.5982516613637,-12.0,0.10508412620633356,0.4357078853328181,0.4035616552346693,0.11419301825330679,217.90605468767387,213.55569347825218,153.99366872994403,244.3058349553609
2,992.5517157683569,992.5517157683562,-12.0,0.3059131350510505,0.3912725740953842,0.21442262602580725,0.17462091886820125,241.5247329179836,233.75950550389604,146.20698736913675,208.6944998239106
2,6416.968118859605,421.908292480141,-12.0,0.41361778035990016,0.16023211434777926,0.2173953055550401,0.5667786889524727,76.48960339413536,14.258929457908437,65.63235855285346,158.57807378529702
2,1828.9404685551774,931.8072101051647,-12.0,0.1731427928041247,0.24534697693894358,0.4933095246700732,0.16076095574302998,10.651109225776,116.85249178156276,13.61798173981038,223.46993781684193
2,5113.578206198585,903.3206299492531,-12.0,0.2394264028763181,0.2709987458993661,0.5669196513293322,0.37649920925422586,85.7132064781024,143.85640086740008,150.56958763744,122.87168518115546
