generation,l_max_kg_per_m,s_max_kg_per_m,constraint,x_00,x_01,x_02,x_03,x_04,x_05,x_06,x_07,source,design,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count
5,79.99900000642742,79.99900000642742,-12.0,0.0815081555013488,0.1117522229620889,0.3620662543586197,0.1394422194324449,15.4785484823431,68.30887929067998,16.254888690857808,224.2885266236326,surface_seed_1701_pareto,surface_knee,0.01809197887155473,3689.7566881589555,3638.6338488477645,67.33333333333333,51.892035592807844,50.280619291287714,83887.0288603301,0.0,0.0,12.852152584129243,0.0833322916733619,2.2737367544323206e-12,0.0,0.481415696270704,0,23
6,79.99900000642742,79.99900000642742,-12.0,0.193832280397139,0.143462715988024,0.1027081309144612,0.1287446260119814,6.382232298272111,80.2309535223281,234.7665267859974,197.8898749800381,surface_seed_1701_pareto,surface_knee,0.017137540253693517,3689.7566881589555,3627.697118298332,69.66666666666667,49.61591546903296,48.19269692260798,94015.88567966795,0.0,0.0,24.60296741225372,0.5939609398290349,2.5357493882438575e-12,0.0,0.11361676761727951,0,23
7,79.99900000642742,79.99900000642742,-12.0,0.315342007732696,0.2655535257212965,0.103035745174132,0.1946650947820562,5.603895407491174,19.55651391304009,242.7357142275822,147.01671752469613,surface_seed_1701_pareto,surface_knee,0.01829888931977591,3689.7566881589555,3635.753082540274,66.0,52.59174636082361,51.28735306747024,80227.6313657503,0.0,0.0,15.126921539306268,0.6493896695676141,2.7284841053187847e-12,0.0,0.2898036312493435,0,23
7,79.99900000642742,79.99900000642742,-12.0,0.2184030310090345,0.143462715988024,0.1027081309144612,0.1287446260119814,6.382232298272111,80.2309535223281,234.7665267859974,203.21283649964172,surface_seed_1701_pareto,surface_knee,0.017698118649601993,3689.7566881589555,3633.408795050024,69.0,50.44172916165652,49.14392484191519,93306.28248255876,0.0,0.0,17.192095220721416,0.6073360531525535,2.2737367544323206e-12,0.0,0.138187518229175,0,23
7,79.99900000642742,79.99900000642742,-12.0,0.0815081555013488,0.1117522229620889,0.3602390194692557,0.1394422194324449,12.5091261726552,68.30887929067998,20.42615888098285,224.2885266236326,surface_seed_1701_pareto,surface_knee,0.015947385163298772,3689.7566881589555,3639.0345215468637,75.0,46.27006387527003,45.8997150941614,84024.41326837435,0.0,0.0,10.242555862194695,0.0833322916733619,2.2737367544323206e-12,0.0,0.47792011648235533,0,23
8,79.99900000642742,79.99900000642742,-12.0,0.2184030310090345,0.1434148001309987,0.1027081309144612,0.1287446260119814,6.382232298272111,93.27425849969016,7.735237938141623,197.0025591062628,surface_seed_1701_pareto,surface_knee,0.016430630653235166,3689.7566881589555,3647.429644855885,73.33333333333333,47.443553248541285,46.64995809838096,93683.04131769638,0.0,0.0,5.352218097738522,0.27150939150212483,2.2737367544323206e-12,0.0,0.13819168482543806,0,23
8,79.99900000642742,79.99900000642742,-12.0,0.0815081555013488,0.1117522229620889,0.3602390194692557,0.0819254137815664,12.758813527021552,68.30887929067998,20.42615888098285,224.2885266236326,surface_seed_1701_pareto,surface_knee,0.01605689444709085,3689.7566881589555,3639.0345215468637,74.66666666666667,46.473913045666826,45.94961644229503,86029.68854985127,0.0,0.0,10.242555862194695,0.0833322916733619,2.2737367544323206e-12,0.0,0.5354369221332339,0,23
8,79.99900000642742,79.99900000642742,-12.0,0.0815081555013488,0.1107894439286083,0.2596932993684959,0.1394422194324449,15.4785484823431,63.92091798447498,16.007563988413043,224.2885266236326,surface_seed_1701_pareto,surface_knee,0.01809197887155473,3689.7566881589555,3638.6338488477645,67.33333333333333,51.892035592807844,50.280619291287714,90223.91445302816,0.0,0.0,12.852152584129243,0.0833322916733619,2.2737367544323206e-12,0.0,0.28548806246059916,0,23
8,79.99900000642742,79.99900000642742,-12.0,0.0815799398886944,0.1117522229620889,0.0989759909009996,0.1394422194324449,12.32303022139888,67.00212689519816,20.42615888098285,14.578037128329257,surface_seed_1701_pareto,surface_knee,0.015808663525699936,3689.7566881589555,3634.876164740234,75.66666666666667,45.76023590106382,45.71452525896512,99921.2235308349,0.0,0.0,14.40091266882387,0.0833322916733619,2.2737367544323206e-12,0.0,0.08119279026400054,0,23
9,79.99900000642742,79.99900000642742,-12.0,0.0815081555013488,0.2592389290629978,0.3620662543586197,0.1428782668392506,15.4785484823431,68.30887929067998,26.952564395136704,218.044382838168,surface_seed_1701_pareto,surface_knee,0.01809197887155473,3689.7566881589555,3638.6338488477645,67.33333333333333,51.892035592807844,50.280619291287714,74722.9396751131,0.0,0.0,12.852152584129243,0.0833322916733619,2.2737367544323206e-12,0.0,0.4908045798291947,0,23
