slope_deg,mu_static,mu_kinetic,adhesion_pa,design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count
2.0,0.08,0.062400000000000004,0.0,uniform_00_00_00,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.08,0.062400000000000004,41.666666666666664,uniform_00_00_01,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.08,0.062400000000000004,83.33333333333333,uniform_00_00_02,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.08,0.062400000000000004,125.0,uniform_00_00_03,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.08,0.062400000000000004,166.66666666666666,uniform_00_00_04,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.08,0.062400000000000004,208.33333333333331,uniform_00_00_05,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.08,0.062400000000000004,250.0,uniform_00_00_06,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.09965517241379311,0.07773103448275863,0.0,uniform_00_01_00,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.09965517241379311,0.07773103448275863,41.666666666666664,uniform_00_01_01,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
2.0,0.09965517241379311,0.07773103448275863,83.33333333333333,uniform_00_01_02,6416.968118859608,0.0,0.0,3689.7566881589555,0.0,0.0,0.0,0.0,0.0,260.6666666666667,1.0,3573.846961944891,5.087698503540359,3.410605131648481e-12,0.0,0.0,0,0
