l_max_kg_per_m,s_max_kg_per_m,attainable_by_uniform_under_same_caps
79.999,79.999,True
2941.908296,43.332792,False
3210.635971,39.9995,False
4546.213987,26.449593,False
4546.255476,23.333042,False
5082.200296,16.666458,False
5617.95481,13.270188,False
6416.968119,0.0,True
