design_class,nondominated_design_rows,unique_objective_pairs,duplicate_design_rows,unique_pair_fraction,strict_dominated_fraction_unique_pairs,additive_epsilon_vs_uniform_common_minmax,uniform_epsilon_vs_class_common_minmax
uniform,2912,2,2910,0.0006868131868131869,0.0,0.0,0.0
geometry,320,15,305,0.046875,0.9333333333333333,0.2054311192969931,0.0
surface,1731,2,1729,0.0011554015020219526,0.0,0.0,0.0
joint,1928,8,1920,0.004149377593360996,0.0,0.0,0.3269226407588133
