design_class,normalization,l_max_kg_per_m,s_max_kg_per_m,normalized_distance_to_ideal
uniform,front_specific_minmax,79.999,79.999,1.0
uniform,common_combined_minmax,79.999,79.999,0.6538452815176266
geometry,front_specific_minmax,175.322442,105.133821,0.8592800393693837
geometry,common_combined_minmax,175.322442,105.133821,0.8594080566461638
surface,front_specific_minmax,79.999,79.999,1.0
surface,common_combined_minmax,79.999,79.999,0.6538452815176266
joint,front_specific_minmax,3210.635971,39.9995,0.7028962686281539
joint,common_combined_minmax,2941.908296,43.332792,0.5739297520361892
