cells,dt_hours,design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count,l_max_kg_per_m_relative_error,s_max_kg_per_m_relative_error,mean_event_count_relative_error,mean_ssci_relative_error,within_tolerance
12,2.0,convergence_12,502.4585978828846,502.4585978828846,0.14527478801721924,3689.756662439008,3562.7968459008894,8.666666666666666,406.9368869733542,406.98887213608276,64837.544372746175,0.0,0.0,92.59349069715849,0.518516964038286,1.3500311979441904e-12,0.0,0.0,0,0,0.18565403002687736,0.1856540300268769,0.07142857142857155,0.09603623236796924,False
12,1.0,convergence_12,456.2092571675391,456.2092571675391,0.14498264095721047,3689.756662439008,3451.239782672628,8.666666666666666,394.1945499821199,392.9159139035849,62408.82625638894,0.0,0.0,198.39284529818437,0.4710980571938093,6.252776074688882e-13,0.0,0.0,0,0,0.07651923277932998,0.07651923277932955,0.07142857142857155,0.09383210756889236,False
12,0.5,convergence_12,423.7817990392142,423.78179903921426,0.1325456072773756,3689.756662439008,3533.6578775258495,9.333333333333334,373.6108212357458,370.6713852094099,64020.428898114325,0.0,0.0,74.55279115561954,0.43710527617250533,1.7905676941154525e-12,0.0,0.0,0,0,0.0,2.6826739133054674e-16,0.0,0.0,True
24,2.0,convergence_24,502.45859788288453,502.45859788288436,0.14527478801721924,3689.756662439008,3562.7968459008894,8.666666666666666,406.9368869733542,406.98887213608265,64837.544372746175,0.0,0.0,92.59349069715851,0.518516964038286,4.547473508864641e-13,0.0,0.0,0,0,0.18565403002687722,0.18565403002687636,0.07142857142857155,0.09603623236796924,False
24,1.0,convergence_24,456.209257167539,456.2092571675388,0.14498264095721047,3689.756662439008,3451.239782672628,8.666666666666666,394.1945499821198,392.915913903585,62408.82625638894,0.0,0.0,198.39284529818437,0.4710980571938093,5.684341886080801e-13,0.0,0.0,0,0,0.07651923277932986,0.07651923277932889,0.07142857142857155,0.09383210756889236,False
24,0.5,convergence_24,423.78179903921415,423.78179903921404,0.1325456072773756,3689.756662439008,3533.6578775258495,9.333333333333334,373.6108212357458,370.6713852094099,64020.42889811433,0.0,0.0,74.55279115561952,0.43710527617250533,2.0605739337042905e-12,0.0,0.0,0,0,1.3413369566527342e-16,8.048021739916401e-16,0.0,0.0,True
48,2.0,convergence_48,502.4585978828845,502.4585978828849,0.14527478801721921,3689.756662439008,3562.7968459008903,8.666666666666666,406.9368869733544,406.98887213608276,64837.5443727462,0.0,0.0,92.59349069715849,0.518516964038286,4.689582056016661e-13,0.0,0.0,0,0,0.1856540300268771,0.18565403002687755,0.07142857142857155,0.09603623236796903,False
48,1.0,convergence_48,456.2092571675391,456.2092571675386,0.14498264095721045,3689.756662439008,3451.2397826726265,8.666666666666666,394.1945499821198,392.9159139035848,62408.826256388915,0.0,0.0,198.39284529818437,0.4710980571938093,3.353761712787673e-12,0.0,0.0,0,0,0.07651923277932998,0.07651923277932848,0.07142857142857155,0.09383210756889214,False
48,0.5,convergence_48,423.7817990392142,423.7817990392144,0.1325456072773756,3689.756662439008,3533.657877525851,9.333333333333334,373.6108212357458,370.6713852094099,64020.42889811434,0.0,0.0,74.55279115561954,0.43710527617250533,3.609557097661309e-12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,True
