generation,l_max_kg_per_m,s_max_kg_per_m,constraint,x_00,x_01,x_02,x_03
45,160.22526847994345,122.35157505748188,-10.510304679186689,23.08434684407554,33.12091926547436,44.54191672504301,41.41595533276943
45,164.90672393087888,121.44084769960182,-10.218429258139205,23.10354814379373,30.883289796331017,44.54199881726375,42.42342829600014
46,164.90672393087888,121.44084769960182,-10.25987176833656,23.10354814379373,30.883289796331017,44.22427290575071,42.42342829600014
35,170.4867265520925,111.60452431413084,-10.312188113969796,23.296319550252907,31.205450425589277,44.14534155182084,43.99775161982059
37,170.4867265520925,111.60452431413084,-10.416734205151094,23.296319550252907,31.20540832441634,43.34377941825794,42.73854953515659
41,170.4867265520925,111.60452431413084,-10.41221807384921,23.296319550252907,31.205450269724963,43.37844503688101,42.68930623565486
43,170.4867265520925,111.60452431413084,-10.222934415454468,23.296319550252907,31.221506662554955,44.84567614407064,43.99775161982059
45,170.4867265520925,111.60452431413084,-10.260483316968724,23.296319550252907,31.221506662554955,44.55780123246136,43.99775161982059
42,4579.685006162183,98.8196023435782,-7.456405487952814,33.52048195138334,33.18278367514043,10.035769086865349,44.86999367922704
46,4579.685006162183,98.8196023435782,-7.456351557494241,33.52048195138334,33.18278367514043,10.035769086865349,44.8704071460761
35,4587.512809506568,97.53512508928968,-7.499923043842376,27.4706829546584,25.02488304413593,10.035769086865349,44.53635908407374
40,4587.512809506568,97.53512508928968,-7.5045922369456335,33.05492919032714,28.552404688085332,10.035769086865349,44.500561936948735
38,4596.396835505529,95.97310283398826,-7.505746032563785,29.450281353071137,32.65826207807815,10.523383886357385,44.97933097003497
17,4833.040493502702,82.59588182266711,-6.894829891705932,25.93243165410791,26.640707524654907,5.847947338640437,44.98758483556156
21,4833.040493502702,82.59588182266711,-6.894829891705932,25.921784563974462,26.640707524654907,5.847947338640437,44.98758483556156
24,4833.040493502702,82.59588182266711,-6.894829891705932,25.921784563974462,27.084868432466664,5.847947338640437,44.98758483556156
25,4833.040493502702,82.59588182266711,-6.893962376610226,25.738131392995093,27.084868432466664,5.847947338640437,44.99423578462863
35,4833.040493502702,82.59588182266711,-6.893947282706378,25.738131392995093,27.084868432466664,5.847947338640437,44.9943515045581
36,4833.040493502702,82.59588182266711,-6.894829891705932,25.93309618988343,26.640707524654907,5.847947338640437,44.98758483556156
43,4833.040493502702,82.59588182266711,-6.893941238023714,25.93243165410791,26.64360416915295,5.847947338640437,44.994397847125214
17,4848.158505797135,81.01093792831249,-6.734435326647954,34.3495946644363,21.579764024231288,4.268846822616016,44.63817598498159
17,4848.158505797135,81.01093792831249,-6.734435326647954,39.47723784873367,29.98059188242985,4.268846822616016,44.63817598498159
18,4848.158505797135,81.01093792831249,-6.734435326647954,39.397776098898994,21.579764024231288,4.268846822616016,44.63817598498159
20,4848.158505797135,81.01093792831249,-6.733156551408186,33.28744686845812,27.38577792991267,4.268846822616016,44.64797992848648
22,4848.158505797135,81.01093792831249,-6.734435326647954,32.4634169707041,21.579764024231288,4.268846822616016,44.63817598498159
25,4848.158505797135,81.01093792831249,-6.734435326647954,34.58009168335926,21.55398516253104,4.268846822616016,44.63817598498159
26,4848.158505797135,81.01093792831249,-6.734379964003068,33.28744686845812,26.99450553769296,4.268846822616016,44.638600431925695
27,4848.158505797135,81.01093792831249,-6.734379964003068,33.20103287173117,27.007313676459223,4.268846822616016,44.638600431925695
28,4848.158505797135,81.01093792831249,-6.667488931545705,25.52323776227963,20.4471211440248,4.096019011661207,44.97860386981076
28,4848.158505797135,81.01093792831249,-6.732907330441904,33.28744686845812,26.99450553769296,4.268846822616016,44.64989062256129
29,4848.158505797135,81.01093792831249,-6.732907330441904,33.08743610492866,26.99450553769296,4.268846822616016,44.64989062256129
32,4848.158505797135,81.01093792831249,-6.666419825748889,25.52213494028885,30.93552149002862,4.096019011661207,44.986800347586296
33,4848.158505797135,81.01093792831249,-6.734379964003068,33.305369563870684,28.359721041927997,4.268846822616016,44.638600431925695
33,4848.158505797135,81.01093792831249,-6.733156551408186,34.92182394545996,27.008558714325996,4.268846822616016,44.64797992848648
36,4848.158505797135,81.01093792831249,-6.758625238354476,33.28744686845812,28.56284504810921,4.332959440986128,44.51683261360172
36,4848.158505797135,81.01093792831249,-6.733156551408186,34.92182394545996,26.73110750414676,4.268846822616016,44.64797992848648
37,4848.158505797135,81.01093792831249,-6.734379063487296,33.305369563870684,28.08087568208093,4.268846822616016,44.63860733587995
39,4848.158505797135,81.01093792831249,-6.734435326647954,39.404890856585496,21.41313282997181,4.268846822616016,44.63817598498159
40,4848.158505797135,81.01093792831249,-6.734435326647954,34.58009168335926,21.53272233661734,4.268846822616016,44.63817598498159
40,4848.158505797135,81.01093792831249,-6.734379964003068,33.28744686845812,25.83517361955218,4.268846822616016,44.638600431925695
41,4848.158505797135,81.01093792831249,-6.734867151404497,33.305369563870684,30.40042277605149,4.268846822616016,44.6348653285148
42,4848.158505797135,81.01093792831249,-6.734046592556332,26.07874679780252,36.69836111042699,4.267631671281239,44.63994112834928
43,4848.158505797135,81.01093792831249,-6.734435326647954,42.1889410669681,23.081801250046563,4.268846822616016,44.63817598498159
43,4848.158505797135,81.01093792831249,-6.733868141560674,34.3495946644363,21.579764024231288,4.268846822616016,44.64252440398411
43,4848.158505797135,81.01093792831249,-6.734435326647954,39.27148235665776,21.630803267130293,4.268846822616016,44.63817598498159
43,4848.158505797135,81.01093792831249,-6.734379964003068,34.491065479171645,26.99450553769296,4.268846822616016,44.638600431925695
43,4848.158505797135,81.01093792831249,-6.759870147361774,33.28744686845812,28.83163688764914,4.332959440986128,44.507288311212456
44,4848.158505797135,81.01093792831249,-6.734460916910066,34.17225200772815,22.448483027431585,4.268846822616016,44.63797979297206
44,4848.158505797135,81.01093792831249,-6.734900079140296,33.28710510176731,28.57769009126992,4.268846822616016,44.63461288254037
45,4848.158505797135,81.01093792831249,-6.734435326647954,34.58009168335926,22.934366910226117,4.268846822616016,44.63817598498159
46,4848.158505797135,81.01093792831249,-6.733156551408186,34.92182394545996,26.94112798836703,4.268846822616016,44.64797992848648
46,4848.158505797135,81.01093792831249,-6.734435326647954,34.58009168335926,23.001797636185074,4.268846822616016,44.63817598498159
22,6416.968118859599,0.0,-9.567676785485911,40.52049644253467,25.029101340476537,22.9482472428925,4.300435931617876
28,6416.968118859599,0.0,-9.54691730288908,40.52049644253467,30.000756885938777,23.02702147155091,4.220054127033895
35,6416.968118859599,0.0,-9.54691730288908,39.86556471277488,29.97989322091753,23.02702147155091,4.220054127033895
39,6416.968118859599,0.0,-9.54691730288908,40.63817997678692,30.000756885938777,23.02702147155091,4.220054127033895
42,6416.968118859599,0.0,-9.54691730288908,40.63817997678692,28.92191300774465,23.02702147155091,4.220054127033895
