generation,l_max_kg_per_m,s_max_kg_per_m,constraint,x_00,x_01,x_02,x_03,x_04,x_05,x_06,x_07
15,79.99900000642742,79.99900000642742,-12.0,0.1330592168552672,0.2975820994480396,0.1456543134230346,0.1666359339126937,14.179956518839624,9.189817456239908,95.68855791253792,110.27058624059372
16,79.99900000642742,79.99900000642742,-12.0,0.1330592168552672,0.2975820994480396,0.1456543134230346,0.1666359339126937,14.179956518839624,5.143530160114564,95.68855791253792,109.69867464283826
17,79.99900000642742,79.99900000642742,-12.0,0.1124240983727936,0.2400404898802304,0.1456543134230346,0.1666359339126937,14.989737204929993,5.163988017555321,13.083871065511175,100.96049244248744
17,79.99900000642742,79.99900000642742,-12.0,0.1279102335866409,0.2981700750247159,0.282014892000445,0.1415891383746418,17.245807124215453,10.748397589882629,5.805117402312802,66.21198388561046
18,79.99900000642742,79.99900000642742,-12.0,0.1279102335866409,0.2839146888821521,0.282014892000445,0.1415891383746418,17.245807124215453,26.937625987425488,5.805117402312802,66.21198388561046
18,79.99900000642742,79.99900000642742,-12.0,0.1468515924917563,0.2350292298675597,0.2163567242443488,0.1536954600934868,23.828697837891355,6.89741090031332,2.8167626229447498,89.60574104931175
19,79.99900000642742,79.99900000642742,-12.0,0.1472060011319431,0.298451045623162,0.2163567242443488,0.1582178400558406,19.351086606085488,6.89741090031332,3.378223365358197,105.57104992396025
19,79.99900000642742,79.99900000642742,-12.0,0.1328461163456124,0.2935829948310357,0.1456543134230346,0.1407289964815948,14.179956518839624,9.269488062988112,89.13876168448954,110.27058624059372
19,79.99900000642742,79.99900000642742,-12.0,0.1395026539924219,0.2591295015877102,0.1251794109268805,0.1427038886998052,15.259397795872292,5.8225727323227,6.032066180063,87.61498745409024
19,79.99900000642742,79.99900000642742,-12.0,0.1330592168552672,0.2975820994480396,0.1723351728320152,0.1666359339126937,14.179956518839624,9.189817456239908,95.68855791253792,110.27058624059372
19,79.99900000642742,79.99900000642742,-12.0,0.1279102335866409,0.2839146888821521,0.282014892000445,0.1415891383746418,17.245807124215453,42.48125952536684,5.805117402312802,66.21198388561046
19,79.99900000642742,79.99900000642742,-12.0,0.1280795711778148,0.2981700750247159,0.1219215495137576,0.1415891383746418,17.245807124215453,23.11409046558252,10.342415743559773,69.39100652871521
20,79.99900000642742,79.99900000642742,-12.0,0.1332232953658473,0.2978061657218206,0.1857963313900179,0.1666359339126937,14.179956518839624,9.189817456239908,95.68855791253792,64.06253360063849
20,79.99900000642742,79.99900000642742,-12.0,0.1278278083012534,0.2975581577263502,0.1219215495137576,0.1519837480312669,17.245807124215453,16.53405000063161,10.163114322775812,96.3436500516692
20,79.99900000642742,79.99900000642742,-12.0,0.1326354997712287,0.2975820994480396,0.1471406396448252,0.1666359339126937,14.179956518839624,9.189817456239908,95.68855791253792,110.27058624059372
20,79.99900000642742,79.99900000642742,-12.0,0.134138664769455,0.2591295015877102,0.1251794109268805,0.1427038886998052,15.259397795872292,5.8225727323227,6.744735717230674,87.61498745409024
20,79.99900000642742,79.99900000642742,-12.0,0.1329718196157619,0.2975804263225192,0.1502189984067936,0.1666359339126937,14.179956518839624,16.508006611900118,95.68855791253792,114.15138974032357
20,79.99900000642742,79.99900000642742,-12.0,0.1279102335866409,0.2981700750247159,0.282014892000445,0.138296862142293,17.245807124215453,10.748397589882629,5.805117402312802,61.98329251549957
20,79.99900000642742,79.99900000642742,-12.0,0.1292964344528487,0.2975820994480396,0.1728405550228076,0.1666359339126937,14.179956518839624,9.189817456239908,4.437169172509293,110.27058624059372
20,79.99900000642742,79.99900000642742,-12.0,0.1393962913030791,0.2569358211688197,0.1251527232434971,0.1427038886998052,15.261941981778044,5.8225727323227,10.46878331102587,70.01409787785391
20,79.99900000642742,79.99900000642742,-12.0,0.1281859338671575,0.3003637554436064,0.1219482371971409,0.1390707250378881,17.243262938309705,23.11409046558252,5.905698612747616,97.01663334131824
21,79.99900000642742,79.99900000642742,-12.0,0.1279102335866409,0.298054108265447,0.282014892000445,0.1384615586517171,17.245807124215453,25.645957764786843,5.805117402312802,66.21198388561046
21,79.99900000642742,79.99900000642742,-12.0,0.1311463186937012,0.2591295015877102,0.1252163328741264,0.1427038886998052,18.38189994617173,12.8854584468679,9.903992098879655,87.552376977095
