generation,l_max_kg_per_m,s_max_kg_per_m,constraint,x_00,x_01,x_02,x_03
26,157.09275366420508,71.7595261566958,-10.22289190891336,24.344485845440808,29.31042689042501,42.93492225542256,44.91933039571274
33,157.09275366420508,71.7595261566958,-10.132714371974409,24.344485845440808,28.619065773893094,42.93492225542256,37.37196625937643
38,157.09275366420508,71.7595261566958,-10.221574507769173,24.344485845440808,29.30032681498625,42.93492225542256,37.597664855960616
38,157.09275366420508,71.7595261566958,-10.1340317731186,24.344485845440808,28.62916584933186,42.93492225542256,44.59723002411222
42,157.09275366420508,71.7595261566958,-10.163059591174282,24.344485845440808,28.62916584933186,42.712375650329015,44.59723002411222
43,157.09275366420508,71.7595261566958,-10.33966830929917,24.344485845440808,29.31264400644899,42.0418536351553,44.982901505650766
44,157.09275366420508,71.7595261566958,-10.286679671990424,24.344485845440808,28.62916584933186,41.76462169740525,44.59723002411222
44,157.09275366420508,71.7595261566958,-10.176350243197971,24.344485845440808,28.62916584933186,42.61048065148073,44.59723002411222
45,157.09275366420508,71.7595261566958,-10.397749416438645,24.344485845440808,29.31264400644899,41.596565147086025,44.982901505650766
46,159.38088288104737,66.74199670590787,-11.038294195655908,25.665859593344237,32.1202409608443,39.49331879414899,44.9643021869357
40,159.97757401991475,65.76697698480363,-10.970244214038535,25.579798383240885,32.06340486491779,39.95819922395568,44.932825168816464
43,159.97757401991475,65.76697698480363,-11.042167294552913,25.579741998368952,32.12251480432499,39.4658988794193,44.96624792810344
44,159.97757401991475,65.76697698480363,-10.87388515242435,25.579245443950423,31.549175355226417,40.18272251997302,44.9832790508655
46,159.97757401991475,65.76697698480363,-10.877461663041268,25.578374421292143,31.549175355226417,40.15530260524332,44.9832790508655
11,6416.9680674197125,0.0,-7.288077887154902,39.70889770223125,10.941939837546837,43.70890677337981,7.584170574900776
20,6416.9680674197125,0.0,-8.094501477743773,30.692076436361493,38.10848068635786,8.166325349060166,3.7224125172257008
21,6416.9680674197125,0.0,-8.094501477743773,30.692076436361493,38.10848068635786,8.166325349060166,6.871905191553258
21,6416.9680674197125,0.0,-8.042853142638972,30.692076436361493,38.40857417461304,8.070448268178556,3.813407963485665
24,6416.9680674197125,0.0,-8.094501477743773,30.692076436361493,38.10848068635786,8.166325349060166,6.751674400269228
25,6416.9680674197125,0.0,-8.099427241740962,30.692076436361493,38.07071649571273,8.166325349060166,2.088276953338324
26,6416.9680674197125,0.0,-8.213629936499139,30.692076436361493,37.19516250256673,8.166325349060166,6.871905191553258
26,6416.9680674197125,0.0,-8.099427241740962,30.692076436361493,38.07071649571273,8.166325349060166,4.967583773340583
26,6416.9680674197125,0.0,-8.094501477743773,30.491543614580465,38.10848068635786,8.166325349060166,6.85284086313031
