dimension,level,factor,baseline_l_max_kg_per_m,baseline_s_max_kg_per_m,design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count
temperature,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4546.364210220108,11.949392418699299,0.006581768405469093,3689.756662439008,1072.7486255359488,248.66666666666666,4.112299815612489,3.609256632582923,26157.221616269653,235.5,1.0,2596.962584885337,81.24630891834151,1.8189894035458565e-12,66.75959684444908,0.2762008328976347,23,23
temperature,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4545.0839854901715,11.666520834270663,0.006667816302062031,3689.756662439008,1061.843222933044,247.66666666666666,4.096481827020489,3.6678520178662315,26480.20206140919,235.16666666666666,1.0,2548.993004747328,81.19529957548774,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
snowfall,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,3638.055595780024,10.664271903060003,0.006731337855974322,2951.805329951208,853.7486766471376,238.66666666666666,3.414376214052492,3.1279086265145395,21022.704653731216,220.0,1.3333333333333333,2053.967995433815,65.00558208504661,2.7284841053187847e-12,66.75959684444908,0.2762008328976347,23,23
snowfall,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,5455.978985593441,13.999825001124796,0.006583330356004314,4427.707994926813,1283.9324622653778,254.66666666666666,4.826210527450571,4.277976570776436,31618.568304126788,239.33333333333334,1.0,3104.655982374998,97.4974222495607,1.2732925824820995e-11,66.75959684444908,0.2762008328976347,23,23
roof_length,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,3637.898668792338,9.823818411915527,0.00662256142014304,2951.805329951208,854.9873765956885,247.66666666666666,3.313380401491166,2.979539759586359,16843.53786427332,229.0,1.0,2066.8831819381917,81.25898336432547,2.0463630789890885e-12,66.75959684444908,0.2762008328976347,23,23
roof_length,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,5456.848003188497,14.73572761787329,0.006621403230321232,4427.707994926813,1282.481064893533,248.0,4.9593320281419375,4.461264996756371,37897.960194614985,239.33333333333334,1.0,3100.324772907284,81.25898336432532,4.547473508864641e-12,66.75959684444908,0.2762008328976347,23,23
cells,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4281.601352507754,233.91854474112947,0.015214697308105573,3689.756662439008,1632.466885801242,244.0,7.59819339513032,4.036587229597726,41735.753103079485,167.0,0.6666666666666666,2027.518100214931,40.63292086925333,5.229594535194337e-12,62.580487933848325,0.26173093992311136,11,11
cells,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.108823949232,68.47043720320272,0.006974595551689634,3689.756662439008,1067.34383142945,254.33333333333334,4.04287837964858,3.479074843846495,26117.288414143244,235.83333333333334,1.0,2588.7148048445674,157.43284996722323,3.637978807091713e-12,66.22130138272681,0.27193590207439333,47,47
dt,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4547.036706648027,46.52253444542614,0.026004285338027625,3689.756662439008,1068.6682794108788,71.33333333333333,14.497635469370742,11.626364915541659,26297.23136764944,236.0,1.0,2587.1276950802235,81.02381279234031,1.1368683772161603e-12,66.75959684444908,0.2762008328976347,23,23
dt,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
slope_limits,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4815.613540566308,18.985469177059592,0.00721746757088551,3689.756662439008,912.5034220237136,228.66666666666666,3.8682270879569933,3.50379644034399,15997.202862065242,237.0,1.0,2743.9021371481267,80.92158915701589,2.0463630789890885e-12,53.407677475559275,0.2762008328976347,23,23
slope_limits,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4280.099198600569,242.35727707608692,0.015785347775073098,3689.756662439008,1669.0320399814107,256.6666666666667,7.439711968805732,3.8477670278413485,52182.55911857912,166.66666666666666,0.6666666666666666,1994.2221808012707,81.24824581980022,2.2737367544323206e-13,72.3598834632229,0.2762008328976347,17,23
adjacent_slope_limit,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
adjacent_slope_limit,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
transition_penalty,low,0.0,4547.3733359904145,12.279773014894408,joint_knee,39.99950000321371,39.99950000321371,0.008442905561191026,3689.756662439008,3652.3349006451335,146.0,23.800550927521158,24.38904167003567,111390.43661852837,0.0,0.0,3.243598714485614,0.3346898410300017,2.893241202173158e-12,36.35873753472882,0.9160483577817737,23,23
transition_penalty,high,0.25,4547.3733359904145,12.279773014894408,joint_knee,39.99950000321371,39.99950000321371,0.006749650902289738,3689.756662439008,3663.0677168058487,191.33333333333334,18.225078731819067,17.783397165918498,156961.5712731669,0.0,0.0,1.1679873694629979,0.1519093150069252,3.9113157157544265e-12,5.999895655169055,0.5676225926253227,23,23
rain_on_snow,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.63731075607,81.25898336432535,2.7284841053187847e-12,66.75959684444908,0.2762008328976347,23,23
rain_on_snow,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.570644089404,81.25898336432535,6.366462912410498e-12,66.75959684444908,0.2762008328976347,23,23
friction_model,low,0.8,4547.3733359904145,12.279773014894408,joint_knee,4546.3877390225825,12.191153702183351,0.006713536569758091,3689.756662439008,1068.2488344842516,248.0,4.124413563958209,3.702545088473039,25713.537899419334,235.5,1.0,2579.8951145368815,81.24630891834151,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
friction_model,high,1.2,4547.3733359904145,12.279773014894408,joint_knee,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23
