design_class,seed,nondominated_design_rows,unique_objective_pairs,common_normalized_hypervolume
geometry,1701,161,4,0.506715018557302
geometry,2903,342,2,0.46337937582380134
geometry,4517,140,4,0.4607220988047979
surface,1701,174,2,0.7052170802551673
surface,2903,155,2,0.587461762174725
surface,4517,248,2,0.7052170802551673
joint,1701,311,2,0.7052170802551673
joint,2903,568,9,0.7373395387868934
joint,4517,469,6,0.7661339584822386
