design_class,nondominated_design_rows,unique_objective_pairs,duplicate_design_rows,unique_pair_fraction,strict_dominated_fraction_unique_pairs,additive_epsilon_vs_uniform_common_minmax,uniform_epsilon_vs_class_common_minmax
uniform,2910,2,2908,0.0006872852233676976,0.0,0.0,0.0
geometry,155,6,149,0.03870967741935484,0.8333333333333334,0.2093621881581244,0.0
surface,270,2,268,0.007407407407407408,0.0,0.0,0.0
joint,1341,6,1335,0.0044742729306487695,0.0,0.0,0.22522432832154432
