design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count
retention_non_shedding,6416.968067419715,0.0,0.0,3689.756662439008,0.0,0.0,0.0,0.0,0.0,260.8333333333333,1.0,3573.760783061063,5.0851121144883304,3.183231456205249e-12,0.0,0.0,0,0
conventional_shedding,39.99950000321371,39.99950000321371,0.006482102868391996,3689.756662439008,3667.6328323805587,317.3333333333333,11.14197109918991,7.5666763231955665,191377.89684098086,0.0,0.0,0.0,0.04166614583668095,3.637978807091713e-12,0.0,0.0,0,0
uniform_intermediate,423.78179903921415,423.78179903921404,0.1325456072773756,3689.756662439008,3533.6578775258495,9.333333333333334,373.6108212357458,370.6713852094099,64020.42889811433,0.0,0.0,74.55279115561952,0.43710527617250533,2.0605739337042905e-12,0.0,0.0,0,0
