design,weather,input_snow_kg_per_m,l_max_kg_per_m,s_max_kg_per_m,ssci,total_shed_kg_per_m,shed_event_count,mean_shed_event_mass_kg_per_m,median_shed_event_mass_kg_per_m,kinetic_energy_proxy_j_per_m,time_above_intervention_h,manual_triggers,residual_mass_kg_per_m,mass_balance_error_kg_per_m,maximum_snow_depth_m
retention_non_shedding,cold_persistent,2406.3629858279396,2406.362985827943,0.0,0.0,0.0,0,0.0,0.0,0.0,273.5,1,2406.362985827943,-3.183231456205249e-12,1.9150441239474272
retention_non_shedding,maritime_warming,2245.9389340693656,2113.6193705487467,0.0,0.0,0.0,0,0.0,0.0,0.0,213.5,1,1898.431295935527,-9.094947017729282e-13,1.7255103821985178
retention_non_shedding,severe_inland,6416.968067419719,6416.968067419715,0.0,0.0,0.0,0,0.0,0.0,0.0,295.5,1,6416.488067419719,0.0,5.0851121144883304
conventional_shedding,cold_persistent,2406.3629858279396,19.998437561033565,19.99843756103357,0.005890528401365508,2406.362985827941,312,7.7038076281775005,5.3417212537505385,125163.446365848,0.0,0,0.0,-1.3642420526593924e-12,0.020831705792743297
conventional_shedding,maritime_warming,2245.9389340693656,27.99507855756132,27.995078557561307,0.00914482467303035,2179.567443894013,190,11.467384493139956,8.839353038820619,114465.1454810603,0.0,0,0.0,-4.547473508864641e-13,0.029161540164126375
conventional_shedding,severe_inland,6416.968067419719,39.99950000321371,39.99950000321371,0.004410955530780129,6416.9680674197225,450,14.25472117625227,8.518954677015543,334505.09867603425,0.0,0,0.0,-3.637978807091713e-12,0.04166614583668095
uniform_intermediate,cold_persistent,2406.3629858279396,402.72978191995554,402.72978191995566,0.16667121611900276,2397.626519246203,6,399.6044198743671,398.2923142621564,41725.189826938265,0.0,0,8.73646658173881,-2.0605739337042905e-12,0.40952961404198235
uniform_intermediate,maritime_warming,2245.9389340693656,380.4817814441931,379.5694926509555,0.1681285590735372,2001.7809527967452,6,333.6301587994575,320.95237754044393,39003.20788259363,0.0,0,0.0,0.0,0.3906085577647363
uniform_intermediate,severe_inland,6416.968067419719,423.78179903921415,423.78179903921404,0.06283704663958684,6201.566160534601,16,387.5978850334126,392.7694638256294,111332.8889848111,0.0,0,214.92190688511977,-1.7621459846850485e-12,0.43710527617250533
