design_class,seed,pareto_designs,minimum_l_max_kg_per_m,minimum_s_max_kg_per_m,normalized_hypervolume,additive_epsilon_vs_combined
geometry,1701,161,157.09275366420508,0.0,0.5038532917717224,0.0007413500059396991
geometry,2903,342,157.09275366420508,0.0,0.46078777598960186,0.04868979635335413
geometry,4517,140,152.4485520843018,0.0,0.4581470673012391,0.051731942183405266
surface,1701,174,39.99950000321371,0.0,0.09268782786757515,2.220446049250313e-16
surface,2903,155,55.79597744128555,0.0,0.04761904761904745,0.3949168723809724
surface,4517,248,39.99950000321371,0.0,0.09268782786757537,0.0
joint,1701,311,39.99950000321371,0.0,0.09268782786757537,0.29340509208946197
joint,2903,568,39.99950000321371,0.0,0.19091061774994725,0.2512634343555411
joint,4517,469,39.99950000321371,0.0,0.2789570602138902,0.0
