l_max_kg_per_m,s_max_kg_per_m,design_class
39.9995,39.9995,uniform
6416.968067,0.0,uniform
152.448552,123.076078,geometry
155.054304,115.287258,geometry
157.092754,71.759526,geometry
159.380883,66.741997,geometry
159.977574,65.766977,geometry
6416.968067,0.0,geometry
39.9995,39.9995,surface
6416.968067,0.0,surface
39.9995,39.9995,joint
4545.933018,16.92937,joint
4546.954275,13.33034,joint
4547.373336,12.279773,joint
5083.11804,11.64105,joint
6416.968067,0.0,joint
