design,cells,dt_hours,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count,l_max_kg_per_m_relative_error,s_max_kg_per_m_relative_error,mean_event_count_relative_error,mean_ssci_relative_error,maximum_relative_error,within_tolerance
uniform_knee,24,2.0,159.50583238431818,159.50583238431818,0.025821198267867277,3689.756662439008,3667.5004557600873,86.33333333333333,41.009568532475264,24.428653081478245,7847.930692338625,0.0,0.0,0.0,0.16615190873366478,4.547473508864641e-13,0.0,0.0,0,0,2.9876956554832654,2.9876956554832654,0.7279411764705883,2.9834601196745116,2.9876956554832654,False
uniform_knee,24,1.0,79.95788907800988,79.95788907800988,0.012949829987676251,3689.756662439008,3667.545710885736,166.33333333333334,21.37093083159057,13.529204726201085,7870.489220714925,0.0,0.0,0.0,0.08328946778959363,9.094947017729282e-13,0.0,0.0,0,0,0.9989722139423184,0.9989722139423184,0.4758403361344537,0.997782239899672,0.9989722139423184,False
uniform_knee,24,0.5,39.99950000321371,39.99950000321371,0.006482102868391996,3689.756662439008,3667.6328323805587,317.3333333333333,11.14197109918991,7.5666763231955665,7881.279541761755,0.0,0.0,0.0,0.04166614583668095,3.637978807091713e-12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,True
joint_continuous_knee,24,2.0,4547.036706648027,46.52253444542614,0.026004285338027625,3689.756662439008,1068.6682794108788,71.33333333333333,14.497635469370742,11.626364915541659,26297.23136764944,236.0,1.0,2587.1276950802235,81.02381279234031,1.1368683772161603e-12,66.75959684444908,0.2762008328976347,23,23,7.402720593085099e-05,2.7885500317471608,0.7123655913978495,2.9273073143992843,2.9273073143992843,False
joint_continuous_knee,24,1.0,4546.847447456812,23.321050981086216,0.013066833919701022,3689.756662439008,1068.8639043359024,137.0,7.483625454493461,6.170954297063297,26316.028780439327,236.0,1.0,2583.9605737566335,81.17001614085729,2.2737367544323206e-13,66.75959684444908,0.2762008328976347,23,23,0.00011564665901528516,0.8991434900954275,0.4475806451612903,0.973423678513398,0.973423678513398,False
joint_continuous_knee,24,0.5,4547.3733359904145,12.279773014894408,0.006621403230321232,3689.756662439008,1068.7342207446106,248.0,4.132776690118281,3.7177208306303093,26318.027912927064,235.5,1.0,2583.603977422736,81.25898336432535,9.094947017729282e-13,66.75959684444908,0.2762008328976347,23,23,0.0,0.0,0.0,0.0,0.0,True
joint_mapped_knee,24,2.0,159.50583238431818,159.50583238431818,0.028218021536143344,3689.756662439008,3641.3761343016954,44.0,78.42049027690545,78.22425436862139,114210.39840582786,0.0,0.0,20.596594144888062,0.5967881974450481,4.476419235288631e-13,56.0,0.0,6,0,1.0376371875258532,1.0376371875258525,0.4080717488789237,0.6822656827277136,1.0376371875258532,False
joint_mapped_knee,24,1.0,79.95788907800988,79.95788907800988,0.018927777745928638,3689.756662439008,3643.0738276255724,65.33333333333333,53.74324648073036,52.30815710033786,114300.67713274415,0.0,0.0,13.699871739936354,0.6029366305666798,1.3358203432289883e-12,56.0,0.0,6,0,0.02143705835698447,0.0214370583569841,0.1210762331838565,0.12841188782454094,0.12841188782454094,False
joint_mapped_knee,24,0.5,78.27980042806045,78.27980042806048,0.016773819870348403,3689.756662439008,3648.3069451509728,74.33333333333333,47.99730080071915,45.66631818643748,114474.69565500587,0.0,0.0,5.930557172738411,0.5262912739437088,2.5908164502652653e-12,56.0,0.0,6,0,0.0,0.0,0.0,0.0,0.0,True
