constraint,threshold_kg_per_m,design_class,feasible,best_other_objective_kg_per_m
s_max_at_most,97.355691,surface,True,79.999
s_max_at_most,97.355691,joint,True,79.999
s_max_at_most,97.535125,uniform,True,79.999
s_max_at_most,97.535125,geometry,True,4587.51281
s_max_at_most,97.535125,surface,True,79.999
s_max_at_most,97.535125,joint,True,79.999
s_max_at_most,97.993464,uniform,True,79.999
s_max_at_most,97.993464,geometry,True,4579.685006
s_max_at_most,97.993464,surface,True,79.999
s_max_at_most,97.993464,joint,True,79.999
s_max_at_most,105.133821,uniform,True,79.999
s_max_at_most,105.133821,geometry,True,175.322442
s_max_at_most,105.133821,surface,True,79.999
s_max_at_most,105.133821,joint,True,79.999
s_max_at_most,105.857752,uniform,True,79.999
s_max_at_most,105.857752,geometry,True,172.731155
s_max_at_most,105.857752,surface,True,79.999
s_max_at_most,105.857752,joint,True,79.999
s_max_at_most,111.604524,uniform,True,79.999
s_max_at_most,111.604524,geometry,True,170.486727
s_max_at_most,111.604524,surface,True,79.999
s_max_at_most,111.604524,joint,True,79.999
s_max_at_most,112.007946,uniform,True,79.999
s_max_at_most,112.007946,geometry,True,164.906724
s_max_at_most,112.007946,surface,True,79.999
s_max_at_most,112.007946,joint,True,79.999
s_max_at_most,121.440848,uniform,True,79.999
s_max_at_most,121.440848,geometry,True,160.225268
s_max_at_most,121.440848,surface,True,79.999
s_max_at_most,121.440848,joint,True,79.999
s_max_at_most,122.351575,uniform,True,79.999
s_max_at_most,122.351575,geometry,True,159.675379
s_max_at_most,122.351575,surface,True,79.999
s_max_at_most,122.351575,joint,True,79.999
