section,design_class,item,metric,value_1h,value_0p5h,absolute_change,relative_change
baseline,uniform_baseline,retention_non_shedding,l_max_kg_per_m,6416.968118859608,6416.968067419715,-5.143989255884662e-05,-8.016230033567359e-09
baseline,uniform_baseline,retention_non_shedding,s_max_kg_per_m,0.0,0.0,0.0,
baseline,uniform_baseline,retention_non_shedding,mean_event_count,0.0,0.0,0.0,
baseline,uniform_baseline,retention_non_shedding,mean_ssci,0.0,0.0,0.0,
baseline,uniform_baseline,retention_non_shedding,mean_total_shed_kg_per_m,0.0,0.0,0.0,
baseline,uniform_baseline,retention_non_shedding,mean_residual_mass_kg_per_m,3573.846961944891,3573.760783061063,-0.08617888382786987,-2.411375885579925e-05
baseline,uniform_baseline,conventional_shedding,l_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
baseline,uniform_baseline,conventional_shedding,s_max_kg_per_m,79.99900000642742,39.99950000321371,-39.99950000321371,-0.5
baseline,uniform_baseline,conventional_shedding,mean_event_count,167.33333333333334,317.3333333333333,149.99999999999997,0.8964143426294818
baseline,uniform_baseline,conventional_shedding,mean_ssci,0.0129546536982733,0.0064821028683919,-0.0064725508298814,-0.49963132790991654
baseline,uniform_baseline,conventional_shedding,mean_total_shed_kg_per_m,3667.643656578141,3667.632832380559,-0.010824197581769113,-2.9512675154128617e-06
baseline,uniform_baseline,conventional_shedding,mean_residual_mass_kg_per_m,0.0,0.0,0.0,
baseline,uniform_baseline,uniform_intermediate,l_max_kg_per_m,466.44705232736914,423.78179903921415,-42.665253288154986,-0.09146858807505336
baseline,uniform_baseline,uniform_intermediate,s_max_kg_per_m,466.447052327369,423.7817990392141,-42.66525328815493,-0.09146858807505326
baseline,uniform_baseline,uniform_intermediate,mean_event_count,8.666666666666666,9.333333333333334,0.6666666666666679,0.07692307692307707
baseline,uniform_baseline,uniform_intermediate,mean_ssci,0.1451872091977054,0.1325456072773756,-0.012641601920329787,-0.0870710442757762
baseline,uniform_baseline,uniform_intermediate,mean_total_shed_kg_per_m,3454.337927257028,3533.657877525849,79.31995026882123,0.022962417672843752
