station_id,winter,days,missing_temperature_days,missing_snowfall_days,design_class,design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count,source_scenario
s47433,2021,181,0,0,uniform_knee,uniform_knee,345.59999999999997,345.5999999999999,0.018053256762686404,8342.400000000001,8053.632,92.0,87.53947826086956,67.19999999999997,16285.239703183743,0.0,0.0,0.0,0.36,1.8189894035458565e-12,0.0,0.0,0,0,s47433_winter_2021_2022
s47433,2021,181,0,0,joint_knee,joint_knee,5612.941333333334,113.99999999999996,0.019164295974005045,8342.400000000001,2348.9759999999997,92.0,25.53234782608695,19.2,57402.36909189898,3240.0,1.0,5144.791999999997,49.51136957824152,5.4569682106375694e-12,66.75959684444908,0.2762008328976347,23,23,s47433_winter_2021_2022
s47433,2022,181,0,0,uniform_knee,uniform_knee,336.0,336.0,0.017515577792736613,8160.000000000002,8004.096,80.0,100.0512,86.39999999999998,15245.058290767012,0.0,0.0,0.0,0.35000000000000003,1.8189894035458565e-12,0.0,0.0,0,0,s47433_winter_2022_2023
s47433,2022,181,0,0,joint_knee,joint_knee,5603.865333333333,106.0,0.01817874746029022,8160.000000000002,2333.6639999999998,83.0,28.116433734939758,22.4,56364.995740779945,3456.0,1.0,5041.682666666667,53.47670116965744,1.8189894035458565e-12,66.75959684444908,0.2762008328976347,23,23,s47433_winter_2022_2023
s47433,2023,182,0,0,uniform_knee,uniform_knee,307.2,307.2000000000001,0.019333298102780234,7516.799999999999,7357.4400000000005,90.0,81.74933333333333,62.39999999999998,14572.156154480159,0.0,0.0,0.0,0.32,9.094947017729282e-13,0.0,0.0,0,0,s47433_winter_2023_2024
s47433,2023,182,0,0,joint_knee,joint_knee,5064.1313333333355,97.6,0.01984976501894928,7516.799999999999,2135.904,94.0,22.7223829787234,16.799999999999997,51865.97620272605,3408.0,1.0,4559.1353333333345,44.25998326811704,2.7284841053187847e-12,66.75959684444908,0.2762008328976347,23,23,s47433_winter_2023_2024
s47520,2021,181,0,0,uniform_knee,uniform_knee,316.79999999999995,316.79999999999984,0.024830347658683118,6777.599999999999,6135.168,63.0,97.38361904761904,86.39999999999998,14635.902852472089,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0,0,s47520_winter_2021_2022
s47520,2021,181,0,0,joint_knee,joint_knee,4278.377333333333,92.4,0.024920866420220542,6777.599999999999,1787.0879999999997,63.0,28.366476190476185,25.200000000000003,44983.056702861264,2976.0,1.0,3658.3379999999993,41.74140033583326,4.547473508864641e-13,66.75959684444908,0.2762008328976347,23,23,s47520_winter_2021_2022
s47520,2022,181,0,0,uniform_knee,uniform_knee,451.19999999999993,451.20000000000016,0.037569141563380946,5760.000000000003,5317.248,53.0,100.32543396226416,76.80000000000003,13103.91727346436,0.0,0.0,0.0,0.47,3.637978807091713e-12,0.0,0.0,0,0,s47520_winter_2022_2023
s47520,2022,181,0,0,joint_knee,joint_knee,3682.3026666666656,131.59999999999997,0.037640681102808625,5760.000000000003,1549.7279999999998,52.0,29.80246153846154,22.4,39317.60307841153,3216.0,1.0,3045.6799999999994,34.8738976108729,3.637978807091713e-12,66.75959684444908,0.2762008328976347,23,23,s47520_winter_2022_2023
