generation,l_max_kg_per_m,s_max_kg_per_m,constraint,x_00,x_01,x_02,x_03,x_04,x_05,x_06,x_07,source,design,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count
36,39.99950000321371,39.99950000321371,-12.0,0.1840642866806217,0.2463158114560927,0.1009740558913921,0.2187990371910609,0.7923078401478172,19.872408253370896,26.475369035834365,70.03168152309237,surface_seed_1701_pareto,surface_knee,0.007253675083389882,3689.756662439008,3654.8289757217335,167.33333333333334,20.728748818312862,21.004554907642554,85739.35937299742,0.0,0.0,6.807005291501748,0.27268180388926894,3.5207392556912964e-12,0.0,0.3019534959776106,0,23
37,39.99950000321371,39.99950000321371,-12.0,0.1840642866806217,0.2463158114560927,0.1009740558913921,0.2187990371910609,0.7923078401478172,19.872408253370896,43.665680155908575,70.03168152309237,surface_seed_1701_pareto,surface_knee,0.00722051167314082,3689.756662439008,3654.3898946967515,169.0,20.524008427727107,20.547227888577783,85722.25714735892,0.0,0.0,6.790411468599406,0.27268180388926894,3.391065206415078e-12,0.0,0.3019534959776106,0,23
37,39.99950000321371,39.99950000321371,-12.0,0.1805939404335666,0.1868002727992355,0.0965319758536017,0.2187990371910609,1.3199008038610422,19.872408253370896,26.475369035834365,70.03168152309237,surface_seed_1701_pareto,surface_knee,0.007403711270215794,3689.756662439008,3652.687523445126,164.33333333333334,21.12755159341441,21.530432932770236,89739.31334988361,0.0,0.0,6.6254756111979605,0.27148367081203095,3.1885605267234496e-12,0.0,0.20981291137250355,0,23
37,39.99950000321371,39.99950000321371,-12.0,0.3024172553695425,0.1906299058080519,0.1075232005397556,0.2175545743827405,3.532514096331284,20.22577491047963,24.61162930248344,101.3677627967788,surface_seed_1701_pareto,surface_knee,0.009169033904826762,3689.756662439008,3656.300258637246,133.66666666666666,26.3017181835537,25.846044461812237,84689.62203513925,0.0,0.0,0.695539554370245,0.04166614583668095,3.637978807091713e-12,0.0,0.29769875864944173,0,23
38,39.99950000321371,39.99950000321371,-12.0,0.1840642866806217,0.2463158114560927,0.1009320604487173,0.2187990371910609,0.7923078401478172,1.3192783765062384,59.12793527057048,71.41365953178493,surface_seed_1701_pareto,surface_knee,0.0072151778105956155,3689.756662439008,3657.5485066304304,169.0,20.547786829418964,20.705943446883325,85804.4024283029,0.0,0.0,5.795624525331451,0.28080238210238867,3.4416913763379853e-12,0.0,0.3020338350853362,0,23
39,39.99950000321371,39.99950000321371,-12.0,0.1824655668488041,0.2463158114560927,0.1009740558913921,0.2118479061916075,2.893466347809888,19.872408253370896,25.307115630645217,70.03168152309237,surface_seed_1701_pareto,surface_knee,0.007170930107172543,3689.756662439008,3662.5229614567556,170.66666666666666,20.317952288955215,20.13926009988732,86225.19324403124,0.0,0.0,1.0702493912038211,0.26658732743358154,3.86513043793002e-12,0.0,0.2963230465783544,0,23
40,39.99950000321371,39.99950000321371,-12.0,0.1840073512025613,0.2648007124168349,0.0942122724401441,0.2115638570755723,1.090674004035737,13.7044484422524,27.669714413345723,61.52677923992238,surface_seed_1701_pareto,surface_knee,0.0071057627565849005,3689.756662439008,3655.9359081403745,173.0,20.059397755615052,20.084789124624706,85293.24342731955,0.0,0.0,3.8836098060596247,0.23490288934441556,3.0961899710746366e-12,0.0,0.3398485890955024,0,23
41,39.99950000321371,39.99950000321371,-12.0,0.1840642866806217,0.2458167032055657,0.10902732604308,0.2187990371910609,0.7923078401478172,1.3192783765062384,59.12793527057048,71.41365953178493,surface_seed_1701_pareto,surface_knee,0.007153995910033402,3689.756662439008,3657.887519082213,171.0,20.339405536145964,20.37529207989087,85350.36866939803,0.0,0.0,5.668242214698702,0.28080238210238867,4.310329870804708e-12,0.0,0.2856792256865085,0,23
41,39.99950000321371,39.99950000321371,-12.0,0.1840642866806217,0.2457888083868769,0.0844255804723974,0.2187990371910609,1.0223870118996672,19.872408253370896,21.579954076611173,70.03168152309237,surface_seed_1701_pareto,surface_knee,0.0072635385694133575,3689.756662439008,3655.997221917307,167.66666666666666,20.74937313898243,20.733027280573396,86809.32056277778,0.0,0.0,5.3651581671862845,0.276602379979899,4.001243780749064e-12,0.0,0.33269492187618177,0,23
41,39.99950000321371,39.99950000321371,-12.0,0.1840073512025613,0.2648007124168349,0.0942122724401441,0.2115638570755723,1.250116415225378,13.7044484422524,27.67210582930156,60.9263411630787,surface_seed_1701_pareto,surface_knee,0.00715395033206459,3689.756662439008,3653.465752853312,173.33333333333334,20.066211107532514,20.23936693960412,85246.26568673711,0.0,0.0,7.2901407821634985,0.23212469035991581,3.4647840152501885e-12,0.0,0.3398485890955024,0,23
