design,scenario,dt_hours,input_snow_kg_per_m,l_max_kg_per_m,s_max_kg_per_m,ssci,total_shed_kg_per_m,shed_event_count,mean_shed_event_mass_kg_per_m,median_shed_event_mass_kg_per_m,kinetic_energy_proxy_j_per_m,time_above_intervention_h,manual_triggers,residual_mass_kg_per_m,mass_balance_error_kg_per_m,maximum_snow_depth_m
uniform_knee,cold_persistent,1.0,2406.3629858279396,39.97894453896225,39.97894453896225,0.011761996376767312,2406.3629858279396,165,14.575463124190604,8.869162523053319,4597.022412500183,0.0,0,0.0,0.0,0.04164473389475235
uniform_knee,maritime_warming,1.0,2245.9389340693656,55.933702998056106,55.916439196000944,0.018275303388540106,2179.306079409549,97,22.463075211328032,17.416616914212742,5719.885413683003,0.0,0,0.0,0.0,0.05826427395630845
uniform_knee,severe_inland,1.0,6416.968067419719,79.95788907800988,79.95788907800988,0.00881219019772134,6416.968067419718,237,27.074254159253073,14.301834741337192,13294.55983596159,0.0,0,0.0,9.094947017729282e-13,0.08328946778959363
uniform_knee,cold_persistent,0.5,2406.3629858279396,19.998437561033565,19.99843756103357,0.005890528401365508,2406.362985827941,312,7.7038076281775005,5.3417212537505385,4605.844592487951,0.0,0,0.0,-1.3642420526593924e-12,0.020831705792743297
uniform_knee,maritime_warming,0.5,2245.9389340693656,27.99507855756132,27.995078557561307,0.00914482467303035,2179.567443894013,190,11.467384493139956,8.839353038820619,5718.923597072258,0.0,0,0.0,-4.547473508864641e-13,0.029161540164126375
uniform_knee,severe_inland,0.5,6416.968067419719,39.99950000321371,39.99950000321371,0.004410955530780129,6416.9680674197225,450,14.25472117625227,8.518954677015543,13319.070435725056,0.0,0,0.0,-3.637978807091713e-12,0.04166614583668095
joint_continuous_knee,cold_persistent,1.0,2406.3629858279396,1207.580853414243,21.640505919179233,0.012076552419105473,1198.782132413695,131,9.151008644379353,8.252203023745402,21033.869138481976,189.0,1,1207.580853414243,1.5916157281026244e-12,6.101051484526874
joint_continuous_knee,maritime_warming,1.0,2245.9389340693656,1063.4240839201075,27.958219598000486,0.01833785538579549,1087.3119220378717,85,12.791904965151431,10.563816382081114,21238.739826455756,121.0,1,983.9647619035677,-4.547473508864641e-13,8.371514563723453
joint_continuous_knee,severe_inland,1.0,6416.968067419719,3210.8307100099446,39.97894453900494,0.008830340035313106,3208.462995882324,196,16.36970916266492,11.911755640212032,57942.24654532086,274.0,1,3208.3232975150772,-9.094947017729282e-13,24.342656773121448
joint_continuous_knee,cold_persistent,0.5,2406.3629858279396,1207.3542678003719,12.480869241279551,0.006135023050421748,1199.0087180275698,243,4.934192255257488,4.320111173616644,21051.212433690238,186.5,1,1207.3542678003719,-2.0463630789890885e-12,5.994537403880667
joint_continuous_knee,maritime_warming,0.5,2245.9389340693656,1065.6061904654412,13.997539278780657,0.009175866567433976,1088.8610127550423,161,6.763111880466101,6.403582076095882,21285.66987126002,121.0,1,953.9748109851212,-9.094947017729282e-13,7.7921785854836
joint_continuous_knee,severe_inland,0.5,6416.968067419719,3211.647315993958,21.66027200722063,0.0044494491354395635,3208.4078028438416,359,8.93706908870151,7.520317958469846,57958.117572753494,274.5,1,3208.2440337098606,-2.7284841053187847e-12,25.164260481285677
joint_mapped_knee,cold_persistent,1.0,2406.3629858279396,1217.1554789095114,37.905291619022876,0.020334115942279355,1189.2075069184273,58,20.503577705490127,21.716609359491873,26856.521200516214,193.0,1,1217.1554789095114,9.094947017729282e-13,8.880896849522085
joint_mapped_knee,maritime_warming,1.0,2245.9389340693656,1085.0543441648795,37.901769094528014,0.023816917835451,1062.3908165689045,48,22.133142011852183,20.60437656520064,26283.185511568634,121.0,1,969.7058295702767,1.1368683772161603e-13,14.263894919352373
joint_mapped_knee,severe_inland,1.0,6416.968067419719,3220.9679564857774,45.04848353485179,0.009785459629281784,3205.434542357031,120,26.71195451964193,25.601074099755138,74553.5046365628,277.0,2,3211.0535250626867,1.3642420526593924e-12,43.89759811647274
joint_mapped_knee,cold_persistent,0.5,2406.3629858279396,1216.8516352235965,24.28804393042077,0.013691790903379242,1192.9631738204134,80,14.912039672755167,16.05000086093029,26948.79946257559,192.0,3,1213.3998120075282,-2.0463630789890885e-12,8.809425287790777
joint_mapped_knee,maritime_warming,0.5,2245.9389340693656,1075.1344691423378,21.886065063111793,0.01579324609800751,1060.1598278196088,68,15.590585703229548,16.58385118578299,26238.487915569804,121.5,1,954.6093816633494,1.1368683772161603e-13,13.833289025676235
joint_mapped_knee,severe_inland,0.5,6416.968067419719,3224.4831768867375,38.83487993059115,0.007415230343193153,3208.448429879848,163,19.683732698649372,18.53671551707263,74725.29591014632,277.0,2,3208.244033709859,-1.3642420526593924e-12,44.31037576776061
