snowfall_factor,shedding_penalty_weight,labor_scarcity,manual_intervention_weight,allowable_shed_kg_per_m,constraint_feasible,selected_design_class,strategy,l_max_kg_per_m,s_max_kg_per_m,mean_manual_triggers,mean_ssci
1.0,1.0,low,0.25,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,medium,1.0,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,high,4.0,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
