station_id,winter,days,missing_temperature_days,missing_snowfall_days,design_class,design,l_max_kg_per_m,s_max_kg_per_m,mean_ssci,mean_input_snow_kg_per_m,mean_total_shed_kg_per_m,mean_event_count,mean_event_mass_kg_per_m,median_event_mass_kg_per_m,mean_kinetic_energy_proxy_j_per_m,mean_time_above_intervention_h,mean_manual_triggers,mean_residual_mass_kg_per_m,maximum_snow_depth_m,max_abs_mass_balance_error_kg_per_m,slope_total_variation_deg,surface_total_variation,slope_transition_count,surface_transition_count,source_scenario
s47433,2021,181,0,0,uniform_knee,uniform_knee,345.6,345.5999999999999,0.0180532567626864,8342.400000000001,8053.632,92.0,87.53947826086956,67.19999999999997,16285.239703183744,0.0,0.0,0.0,0.36,1.8189894035458565e-12,0.0,0.0,0,0,s47433_winter_2021_2022
s47433,2021,181,0,0,joint_knee,joint_knee,3760.037333333332,175.60000000000002,0.0184031618846083,8342.400000000001,4026.336,93.0,43.29393548387096,30.800000000000004,71902.14406500955,3120.0,1.0,1898.9599999999984,14.546466940995948,4.092726157978177e-12,70.5175084633931,0.5278879946277348,23,23,s47433_winter_2021_2022
s47433,2022,181,0,0,uniform_knee,uniform_knee,336.0,336.0,0.0175155777927366,8160.000000000002,8004.096,80.0,100.0512,86.39999999999998,15245.058290767012,0.0,0.0,0.0,0.35,1.8189894035458565e-12,0.0,0.0,0,0,s47433_winter_2022_2023
s47433,2022,181,0,0,joint_knee,joint_knee,3903.842,168.0,0.017516989555309,8160.000000000002,3997.904,82.0,48.754926829268285,42.400000000000006,70101.15878899247,3264.0,1.0,1669.5113333333325,15.083042586012107,3.183231456205249e-12,70.5175084633931,0.5278879946277348,23,23,s47433_winter_2022_2023
s47433,2023,182,0,0,uniform_knee,uniform_knee,307.2,307.2000000000001,0.0193332981027802,7516.799999999999,7357.44,90.0,81.74933333333333,62.39999999999998,14572.15615448016,0.0,0.0,0.0,0.32,9.094947017729282e-13,0.0,0.0,0,0,s47433_winter_2023_2024
s47433,2023,182,0,0,joint_knee,joint_knee,3151.479999999999,153.6,0.0195008719807505,7516.799999999999,3666.7040000000006,93.0,39.4269247311828,30.800000000000004,65039.13420428279,3144.0,1.0,1131.351999999999,11.126174837030476,9.094947017729282e-13,70.5175084633931,0.5278879946277348,23,23,s47433_winter_2023_2024
s47520,2021,181,0,0,uniform_knee,uniform_knee,316.79999999999995,316.79999999999984,0.0248303476586831,6777.599999999999,6135.168,63.0,97.38361904761904,86.39999999999998,14635.902852472089,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0,0,s47520_winter_2021_2022
s47520,2021,181,0,0,joint_knee,joint_knee,2910.584,158.39999999999998,0.0249622441042702,6777.599999999999,3062.528,63.0,48.61155555555555,43.20000000000001,57413.11899060474,2736.0,1.0,776.713999999999,12.18131011439155,0.0,70.5175084633931,0.5278879946277348,23,23,s47520_winter_2021_2022
s47520,2022,181,0,0,uniform_knee,uniform_knee,451.19999999999993,451.20000000000016,0.0375691415633809,5760.000000000003,5317.248,53.0,100.32543396226416,76.80000000000003,13103.91727346436,0.0,0.0,0.0,0.47,3.637978807091713e-12,0.0,0.0,0,0,s47520_winter_2022_2023
s47520,2022,181,0,0,joint_knee,joint_knee,2282.368,225.6,0.037618099612593,5760.000000000003,2656.208,52.0,51.08092307692308,38.4,50404.89912892689,2496.0,1.0,507.76133333333325,9.182002078513216,3.296918293926865e-12,70.5175084633931,0.5278879946277348,23,23,s47520_winter_2022_2023
s47520,2023,182,0,0,uniform_knee,uniform_knee,278.4,278.3999999999999,0.0473088147891396,3571.1999999999985,2973.312,41.0,72.51980487804877,39.16799999999997,7662.280291874265,0.0,0.0,0.0,0.29,1.3642420526593924e-12,0.0,0.0,0,0,s47520_winter_2023_2024
s47520,2023,182,0,0,joint_knee,joint_knee,563.2360000000001,139.59999999999994,0.0478107214454548,3571.1999999999985,1482.6879999999996,41.0,36.1631219512195,19.58399999999999,28649.92713150959,0.0,0.0,0.0,3.8119553656816927,9.094947017729282e-13,70.5175084633931,0.5278879946277348,23,23,s47520_winter_2023_2024
s47575,2021,181,0,0,uniform_knee,uniform_knee,499.2000000000001,499.20000000000016,0.0342396615266962,5760.000000000002,5348.352000000001,59.0,90.6500338983051,58.36800000000001,11794.106139477148,0.0,0.0,0.0,0.52,9.094947017729282e-13,0.0,0.0,0,0,s47575_winter_2021_2022
s47575,2021,181,0,0,joint_knee,joint_knee,2570.744,254.80000000000007,0.0344919586685135,5760.000000000002,2674.1760000000004,60.0,44.5696,28.81599999999999,49009.98147718439,2496.0,2.0,548.3373333333328,9.423118755544303,1.4779288903810084e-12,70.5175084633931,0.5278879946277348,23,23,s47575_winter_2021_2022
s47575,2022,181,0,0,uniform_knee,uniform_knee,278.4,278.3999999999999,0.0290691763521958,5347.200000000003,4964.352000000001,53.0,93.66701886792454,76.80000000000003,11413.494143013604,0.0,0.0,0.0,0.29,1.8189894035458565e-12,0.0,0.0,0,0,s47575_winter_2022_2023
s47575,2022,181,0,0,joint_knee,joint_knee,1728.658666666667,139.19999999999996,0.0283953687266801,5347.200000000003,2480.112,54.0,45.92799999999999,38.672,46065.14373353843,1464.0,2.0,160.88199999999995,7.934498237246961,2.387423592153937e-12,70.5175084633931,0.5278879946277348,23,23,s47575_winter_2022_2023
s47575,2023,182,0,0,uniform_knee,uniform_knee,278.4,278.3999999999999,0.0355596255237882,4416.0,3882.24,44.0,88.23272727272727,79.872,9292.519992216536,0.0,0.0,0.0,0.29,4.547473508864641e-13,0.0,0.0,0,0,s47575_winter_2023_2024
s47575,2023,182,0,0,joint_knee,joint_knee,787.8346666666664,139.19999999999996,0.0356561615294718,4416.0,1940.4,43.0,45.12558139534884,41.47199999999998,36572.47421225827,0.0,0.0,0.0,4.168288001911107,6.821210263296962e-13,70.5175084633931,0.5278879946277348,23,23,s47575_winter_2023_2024
s47612,2021,181,0,0,uniform_knee,uniform_knee,384.0,384.0,0.0522623790783277,4329.6,3500.1600000000003,33.0,106.06545454545454,82.94399999999997,9102.844662749516,0.0,0.0,0.0,0.4,4.547473508864641e-13,0.0,0.0,0,0,s47612_winter_2021_2022
s47612,2021,181,0,0,joint_knee,joint_knee,1140.7013333333332,192.0,0.0524804561149648,4329.6,1747.9039999999998,33.0,52.96678787878787,41.47199999999998,33857.68419180664,192.0,1.0,0.0,6.448856072805624,1.1368683772161605e-12,70.5175084633931,0.5278879946277348,23,23,s47612_winter_2021_2022
s47612,2022,181,0,0,uniform_knee,uniform_knee,451.19999999999993,448.8960000000001,0.1058054182967675,2716.8,2059.392,19.0,108.38905263157892,85.24799999999995,5329.54023433272,0.0,0.0,0.0,0.47,4.547473508864641e-13,0.0,0.0,0,0,s47612_winter_2022_2023
s47612,2022,181,0,0,joint_knee,joint_knee,748.992,224.448,0.1064912163603324,2716.8,1027.1039999999998,19.0,54.05810526315789,42.62399999999999,19991.290815758337,0.0,0.0,0.0,5.406098878276877,6.821210263296962e-13,70.5175084633931,0.5278879946277348,23,23,s47612_winter_2022_2023
