design_class,seed,pareto_designs,minimum_l_max_kg_per_m,minimum_s_max_kg_per_m,normalized_hypervolume,additive_epsilon_vs_combined
geometry,1701,161,157.09275366420508,0.0,0.5038532917717224,0.0007413500059396
geometry,2903,342,157.09275366420508,0.0,0.4607877759896018,0.0486897963533541
geometry,4517,140,152.4485520843018,0.0,0.4581470673012391,0.0517319421834052
surface,1701,174,39.99950000321371,0.0,0.0926878278675751,2.220446049250313e-16
surface,2903,155,55.79597744128555,0.0,0.0476190476190474,0.3949168723809724
surface,4517,248,39.99950000321371,0.0,0.0926878278675753,0.0
joint,1701,311,39.99950000321371,0.0,0.0926878278675753,0.2934050920894619
joint,2903,568,39.99950000321371,0.0,0.1909106177499472,0.2512634343555411
joint,4517,469,39.99950000321371,0.0,0.2789570602138902,0.0
