snowfall_factor,shedding_penalty_weight,labor_scarcity,manual_intervention_weight,allowable_shed_kg_per_m,constraint_feasible,selected_design_class,strategy,l_max_kg_per_m,s_max_kg_per_m,mean_manual_triggers,mean_ssci
0.5,0.25,low,0.25,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,low,0.25,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,low,0.25,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,medium,1.0,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,medium,1.0,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,medium,1.0,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,high,4.0,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,high,4.0,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,0.25,high,4.0,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,low,0.25,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,low,0.25,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,low,0.25,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,medium,1.0,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,medium,1.0,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,medium,1.0,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,high,4.0,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,high,4.0,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,1.0,high,4.0,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,4.0,low,0.25,20.0,True,joint,RETENTION,3208.4840337098567,0.0,1.0,0.0
0.5,4.0,low,0.25,80.0,True,joint,RETENTION,3208.4840337098567,0.0,1.0,0.0
0.5,4.0,low,0.25,200.0,True,joint,RETENTION,3208.4840337098567,0.0,1.0,0.0
0.5,4.0,medium,1.0,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,4.0,medium,1.0,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,4.0,medium,1.0,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,4.0,high,4.0,20.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,4.0,high,4.0,80.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
0.5,4.0,high,4.0,200.0,True,uniform,SHEDDING,19.999750001606856,19.999750001606856,0.0,0.006561383896226544
1.0,0.25,low,0.25,20.0,True,joint,GRADED_HYBRID,4547.373335990415,12.279773014894408,1.0,0.0066214032303212
1.0,0.25,low,0.25,80.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,0.25,low,0.25,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,0.25,medium,1.0,20.0,True,joint,GRADED_HYBRID,4547.373335990415,12.279773014894408,1.0,0.0066214032303212
1.0,0.25,medium,1.0,80.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,0.25,medium,1.0,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,0.25,high,4.0,20.0,True,joint,GRADED_HYBRID,4547.373335990415,12.279773014894408,1.0,0.0066214032303212
1.0,0.25,high,4.0,80.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,0.25,high,4.0,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,low,0.25,20.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,1.0,low,0.25,80.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,low,0.25,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,medium,1.0,20.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,1.0,medium,1.0,80.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,medium,1.0,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,high,4.0,20.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,1.0,high,4.0,80.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,1.0,high,4.0,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,4.0,low,0.25,20.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,4.0,low,0.25,80.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,4.0,low,0.25,200.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,4.0,medium,1.0,20.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,4.0,medium,1.0,80.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,4.0,medium,1.0,200.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,4.0,high,4.0,20.0,True,joint,RETENTION,6416.968067419712,0.0,1.0,0.0
1.0,4.0,high,4.0,80.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.0,4.0,high,4.0,200.0,True,uniform,SHEDDING,39.99950000321371,39.99950000321371,0.0,0.0064821028683919
1.5,0.25,low,0.25,20.0,True,joint,GRADED_HYBRID,6819.434531251073,17.499781251406,1.0,0.006547366202793653
1.5,0.25,low,0.25,80.0,True,uniform,SHEDDING,59.99925000482057,59.99925000482057,0.0,0.006450727164069077
1.5,0.25,low,0.25,200.0,True,uniform,SHEDDING,59.99925000482057,59.99925000482057,0.0,0.006450727164069077
1.5,0.25,medium,1.0,20.0,True,joint,GRADED_HYBRID,6819.434531251073,17.499781251406,1.0,0.006547366202793653
1.5,0.25,medium,1.0,80.0,True,uniform,SHEDDING,59.99925000482057,59.99925000482057,0.0,0.006450727164069077
1.5,0.25,medium,1.0,200.0,True,uniform,SHEDDING,59.99925000482057,59.99925000482057,0.0,0.006450727164069077
