station_id,date,mean_temperature_c_raw,precipitation_mm_raw,snowfall_depth_cm_raw,ground_snow_depth_cm_raw,mean_temperature_c,precipitation_mm,snowfall_depth_cm,ground_snow_depth_cm,winter
s47433,2021-11-01,6.5,--,--,--,6.5,0.0,0.0,0.0,2021
s47433,2021-11-02,7.3,11.0,--,--,7.3,11.0,0.0,0.0,2021
s47433,2021-11-03,8.3,0.5,--,--,8.3,0.5,0.0,0.0,2021
s47433,2021-11-04,7.6,1.0,--,--,7.6,1.0,0.0,0.0,2021
s47433,2021-11-05,6.5,--,--,--,6.5,0.0,0.0,0.0,2021
s47433,2021-11-06,4.6,--,--,--,4.6,0.0,0.0,0.0,2021
s47433,2021-11-07,4.6,0.5,--,--,4.6,0.5,0.0,0.0,2021
s47433,2021-11-08,8.3,--,--,--,8.3,0.0,0.0,0.0,2021
s47433,2021-11-09,13.3,40.5,--,--,13.3,40.5,0.0,0.0,2021
s47433,2021-11-10,9.9,14.0,--,--,9.9,14.0,0.0,0.0,2021
s47433,2021-11-11,6.5,6.5,--,--,6.5,6.5,0.0,0.0,2021
s47433,2021-11-12,5.7,5.0,--,--,5.7,5.0,0.0,0.0,2021
s47433,2021-11-13,5.8,1.5,--,--,5.8,1.5,0.0,0.0,2021
s47433,2021-11-14,6.5,1.0,--,--,6.5,1.0,0.0,0.0,2021
s47433,2021-11-15,4.6,7.5,--,--,4.6,7.5,0.0,0.0,2021
s47433,2021-11-16,4.4,1.0,--,--,4.4,1.0,0.0,0.0,2021
s47433,2021-11-17,4.4,0.0,--,--,4.4,0.0,0.0,0.0,2021
s47433,2021-11-18,5.2,0.5,--,--,5.2,0.5,0.0,0.0,2021
s47433,2021-11-19,5.6,14.5,--,--,5.6,14.5,0.0,0.0,2021
s47433,2021-11-20,2.8,0.5,--,--,2.8,0.5,0.0,0.0,2021
s47433,2021-11-21,2.4,0.5,--,--,2.4,0.5,0.0,0.0,2021
s47433,2021-11-22,9.3,13.0,--,--,9.3,13.0,0.0,0.0,2021
s47433,2021-11-23,0.8,7.0,2,2,0.8,7.0,2.0,2.0,2021
s47433,2021-11-24,-1.3,11.0,20,19,-1.3,11.0,20.0,19.0,2021
s47433,2021-11-25,-0.7,24.0,23,39,-0.7,24.0,23.0,39.0,2021
s47433,2021-11-26,-0.3,24.5,9,45,-0.3,24.5,9.0,45.0,2021
s47433,2021-11-27,0.3,25.0,4,46,0.3,25.0,4.0,46.0,2021
s47433,2021-11-28,-0.2,0.5,--,39,-0.2,0.5,0.0,39.0,2021
s47433,2021-11-29,2.4,0.0,--,34,2.4,0.0,0.0,34.0,2021
s47433,2021-11-30,5.3,0.5,--,28,5.3,0.5,0.0,28.0,2021
s47433,2021-12-01,5.1,15.5,9,21,5.1,15.5,9.0,21.0,2021
s47433,2021-12-02,-2.7,9.0,10,23,-2.7,9.0,10.0,23.0,2021
s47433,2021-12-03,3.3,14.5,2,20,3.3,14.5,2.0,20.0,2021
s47433,2021-12-04,-2.2,10.5,16,23,-2.2,10.5,16.0,23.0,2021
s47433,2021-12-05,-3.2,5.5,5,27,-3.2,5.5,5.0,27.0,2021
s47433,2021-12-06,0.5,--,--,23,0.5,0.0,0.0,23.0,2021
s47433,2021-12-07,2.5,0.0,--,18,2.5,0.0,0.0,18.0,2021
s47433,2021-12-08,1.2,--,--,12,1.2,0.0,0.0,12.0,2021
s47433,2021-12-09,-1.4,--,--,12,-1.4,0.0,0.0,12.0,2021
s47433,2021-12-10,0.6,--,--,12,0.6,0.0,0.0,12.0,2021
