station_id,date,mean_temperature_c_raw,precipitation_mm_raw,snowfall_depth_cm_raw,ground_snow_depth_cm_raw,mean_temperature_c,precipitation_mm,snowfall_depth_cm,ground_snow_depth_cm,winter
s47433,2021-12-11,2.9,3.0,--,12,2.9,3.0,0.0,12.0,2021
s47433,2021-12-12,1.8,12.5,8,16,1.8,12.5,8.0,16.0,2021
s47433,2021-12-13,-3.6,20.0,26,41,-3.6,20.0,26.0,41.0,2021
s47433,2021-12-14,0.3,1.5,--,40,0.3,1.5,0.0,40.0,2021
s47433,2021-12-15,1.3,2.0,1,31,1.3,2.0,1.0,31.0,2021
s47433,2021-12-16,-0.6,0.0,1,23,-0.6,0.0,1.0,23.0,2021
s47433,2021-12-17,-2.6,9.5,19,42,-2.6,9.5,19.0,42.0,2021
s47433,2021-12-18,-7.9,14.5,24,63,-7.9,14.5,24.0,63.0,2021
s47433,2021-12-19,-5.7,8.0,8,66,-5.7,8.0,8.0,66.0,2021
s47433,2021-12-20,-4.1,3.5,7,64,-4.1,3.5,7.0,64.0,2021
s47433,2021-12-21,-1.4,16.0,20,73,-1.4,16.0,20.0,73.0,2021
s47433,2021-12-22,-4.7,14.5,16,82,-4.7,14.5,16.0,82.0,2021
s47433,2021-12-23,-4.9,16.5,21,101,-4.9,16.5,21.0,101.0,2021
s47433,2021-12-24,-7.0,3.0,4,95,-7.0,3.0,4.0,95.0,2021
s47433,2021-12-25,-9.6,3.0,2,88,-9.6,3.0,2.0,88.0,2021
s47433,2021-12-26,-10.3,7.5,13,93,-10.3,7.5,13.0,93.0,2021
s47433,2021-12-27,-9.0,9.5,10,93,-9.0,9.5,10.0,93.0,2021
s47433,2021-12-28,-10.2,10.0,13,101,-10.2,10.0,13.0,101.0,2021
s47433,2021-12-29,-4.6,5.0,5,100,-4.6,5.0,5.0,100.0,2021
s47433,2021-12-30,-5.4,6.5,15,107,-5.4,6.5,15.0,107.0,2021
s47433,2021-12-31,-9.5,11.5,7,109,-9.5,11.5,7.0,109.0,2021
s47433,2022-01-01,-7.6,9.0,13,112,-7.6,9.0,13.0,112.0,2021
s47433,2022-01-02,-2.9,9.5,13,118,-2.9,9.5,13.0,118.0,2021
s47433,2022-01-03,-7.9,7.0,2,118,-7.9,7.0,2.0,118.0,2021
s47433,2022-01-04,-10.5,4.0,6,115,-10.5,4.0,6.0,115.0,2021
s47433,2022-01-05,-7.2,3.5,12,117,-7.2,3.5,12.0,117.0,2021
s47433,2022-01-06,-8.3,2.5,4,121,-8.3,2.5,4.0,121.0,2021
s47433,2022-01-07,-7.3,4.0,7,113,-7.3,4.0,7.0,113.0,2021
s47433,2022-01-08,-4.2,9.5,9,120,-4.2,9.5,9.0,120.0,2021
s47433,2022-01-09,-3.7,2.0,1,119,-3.7,2.0,1.0,119.0,2021
s47433,2022-01-10,-5.7,4.0,11,125,-5.7,4.0,11.0,125.0,2021
s47433,2022-01-11,-3.3,14.5,5,116,-3.3,14.5,5.0,116.0,2021
s47433,2022-01-12,-0.7,15.5,19,128,-0.7,15.5,19.0,128.0,2021
s47433,2022-01-13,-1.6,13.5,14,128,-1.6,13.5,14.0,128.0,2021
s47433,2022-01-14,-2.1,3.5,--,128,-2.1,3.5,0.0,128.0,2021
s47433,2022-01-15,-1.2,0.0,1,117,-1.2,0.0,1.0,117.0,2021
s47433,2022-01-16,-2.5,0.0,--,113,-2.5,0.0,0.0,113.0,2021
s47433,2022-01-17,-2.7,12.0,20,130,-2.7,12.0,20.0,130.0,2021
s47433,2022-01-18,-7.6,2.0,4,126,-7.6,2.0,4.0,126.0,2021
s47433,2022-01-19,-6.4,1.0,2,126,-6.4,1.0,2.0,126.0,2021
s47433,2022-01-20,-11.1,0.0,--,120,-11.1,0.0,0.0,120.0,2021
s47433,2022-01-21,-7.0,5.0,10,125,-7.0,5.0,10.0,125.0,2021
s47433,2022-01-22,-6.8,0.5,2,124,-6.8,0.5,2.0,124.0,2021
s47433,2022-01-23,-6.8,2.5,3,124,-6.8,2.5,3.0,124.0,2021
s47433,2022-01-24,-4.6,3.0,8,125,-4.6,3.0,8.0,125.0,2021
s47433,2022-01-25,-4.8,0.5,1,122,-4.8,0.5,1.0,122.0,2021
s47433,2022-01-26,-2.0,1.0,3,121,-2.0,1.0,3.0,121.0,2021
s47433,2022-01-27,-3.9,2.5,7,121,-3.9,2.5,7.0,121.0,2021
s47433,2022-01-28,-5.8,22.0,36,157,-5.8,22.0,36.0,157.0,2021
s47433,2022-01-29,-7.1,31.0,24,177,-7.1,31.0,24.0,177.0,2021
s47433,2022-01-30,-9.4,11.5,7,179,-9.4,11.5,7.0,179.0,2021
s47433,2022-01-31,-11.1,7.5,3,173,-11.1,7.5,3.0,173.0,2021
s47433,2022-02-01,-8.4,4.0,6,163,-8.4,4.0,6.0,163.0,2021
s47433,2022-02-02,-4.8,10.5,20,175,-4.8,10.5,20.0,175.0,2021
s47433,2022-02-03,-5.2,12.5,17,183,-5.2,12.5,17.0,183.0,2021
s47433,2022-02-04,-6.2,20.0,25,203,-6.2,20.0,25.0,203.0,2021
s47433,2022-02-05,-6.7,7.5,4,205,-6.7,7.5,4.0,205.0,2021
s47433,2022-02-06,-6.6,4.0,3,193,-6.6,4.0,3.0,193.0,2021
s47433,2022-02-07,-7.6,13.0,23,204,-7.6,13.0,23.0,204.0,2021
s47433,2022-02-08,-5.3,11.0,19,217,-5.3,11.0,19.0,217.0,2021
s47433,2022-02-09,-6.6,5.0,4,218,-6.6,5.0,4.0,218.0,2021
s47433,2022-02-10,-10.9,0.5,--,204,-10.9,0.5,0.0,204.0,2021
s47433,2022-02-11,-9.1,0.0,--,192,-9.1,0.0,0.0,192.0,2021
s47433,2022-02-12,-5.9,0.0,2,184,-5.9,0.0,2.0,184.0,2021
s47433,2022-02-13,-3.1,3.5,8,184,-3.1,3.5,8.0,184.0,2021
s47433,2022-02-14,-4.6,2.0,1,183,-4.6,2.0,1.0,183.0,2021
s47433,2022-02-15,-7.7,2.5,--,176,-7.7,2.5,0.0,176.0,2021
s47433,2022-02-16,-1.1,2.5,--,170,-1.1,2.5,0.0,170.0,2021
s47433,2022-02-17,-1.2,0.0,2,167,-1.2,0.0,2.0,167.0,2021
s47433,2022-02-18,-3.5,2.0,7,171,-3.5,2.0,7.0,171.0,2021
s47433,2022-02-19,-4.1,1.5,5,170,-4.1,1.5,5.0,170.0,2021
s47433,2022-02-20,-2.2,6.5,12,177,-2.2,6.5,12.0,177.0,2021
s47433,2022-02-21,-3.9,19.5,17,182,-3.9,19.5,17.0,182.0,2021
s47433,2022-02-22,-3.8,0.5,--,175,-3.8,0.5,0.0,175.0,2021
s47433,2022-02-23,-4.8,3.5,10,180,-4.8,3.5,10.0,180.0,2021
s47433,2022-02-24,-3.9,8.0,11,190,-3.9,8.0,11.0,190.0,2021
s47433,2022-02-25,-1.4,4.0,3,191,-1.4,4.0,3.0,191.0,2021
s47433,2022-02-26,2.1,1.0,--,183,2.1,1.0,0.0,183.0,2021
s47433,2022-02-27,-0.2,3.5,3,169,-0.2,3.5,3.0,169.0,2021
s47433,2022-02-28,-1.3,7.5,11,175,-1.3,7.5,11.0,175.0,2021
s47433,2022-03-01,-0.8,4.0,4,170,-0.8,4.0,4.0,170.0,2021
s47433,2022-03-02,-3.6,1.0,2,171,-3.6,1.0,2.0,171.0,2021
s47433,2022-03-03,-3.3,5.5,8,174,-3.3,5.5,8.0,174.0,2021
s47433,2022-03-04,-1.8,1.5,2,175,-1.8,1.5,2.0,175.0,2021
s47433,2022-03-05,-1.0,5.5,7,172,-1.0,5.5,7.0,172.0,2021
s47433,2022-03-06,-1.5,6.5,9,176,-1.5,6.5,9.0,176.0,2021
s47433,2022-03-07,0.0,2.0,3,173,0.0,2.0,3.0,173.0,2021
s47433,2022-03-08,-1.0,2.0,4,174,-1.0,2.0,4.0,174.0,2021
s47433,2022-03-09,-2.5,0.0,--,170,-2.5,0.0,0.0,170.0,2021
s47433,2022-03-10,-1.0,--,--,167,-1.0,0.0,0.0,167.0,2021
s47433,2022-03-11,3.4,0.5,--,163,3.4,0.5,0.0,163.0,2021
s47433,2022-03-12,1.6,1.0,1,160,1.6,1.0,1.0,160.0,2021
s47433,2022-03-13,0.9,--,--,154,0.9,0.0,0.0,154.0,2021
s47433,2022-03-14,2.8,--,--,149,2.8,0.0,0.0,149.0,2021
s47433,2022-03-15,0.7,10.5,7,148,0.7,10.5,7.0,148.0,2021
s47433,2022-03-16,1.7,1.5,1,147,1.7,1.5,1.0,147.0,2021
s47433,2022-03-17,0.6,4.5,8,145,0.6,4.5,8.0,145.0,2021
s47433,2022-03-18,-0.9,1.0,1,146,-0.9,1.0,1.0,146.0,2021
s47433,2022-03-19,0.0,0.5,1,139,0.0,0.5,1.0,139.0,2021
s47433,2022-03-20,-0.8,2.0,2,139,-0.8,2.0,2.0,139.0,2021
s47433,2022-03-21,-1.3,5.5,10,147,-1.3,5.5,10.0,147.0,2021
s47433,2022-03-22,0.0,13.0,10,150,0.0,13.0,10.0,150.0,2021
s47433,2022-03-23,0.0,--,--,148,0.0,0.0,0.0,148.0,2021
s47433,2022-03-24,1.8,0.5,1,142,1.8,0.5,1.0,142.0,2021
s47433,2022-03-25,3.7,0.5,1,137,3.7,0.5,1.0,137.0,2021
s47433,2022-03-26,6.4,7.5,--,132,6.4,7.5,0.0,132.0,2021
s47433,2022-03-27,5.0,7.5,--,122,5.0,7.5,0.0,122.0,2021
s47433,2022-03-28,3.2,1.0,1,115,3.2,1.0,1.0,115.0,2021
s47433,2022-03-29,3.4,--,--,111,3.4,0.0,0.0,111.0,2021
s47433,2022-03-30,2.9,0.5,1,105,2.9,0.5,1.0,105.0,2021
s47433,2022-03-31,1.4,--,--,101,1.4,0.0,0.0,101.0,2021
s47433,2022-04-01,-1.3,0.0,3,99,-1.3,0.0,3.0,99.0,2021
s47433,2022-04-02,1.0,0.0,--,98,1.0,0.0,0.0,98.0,2021
s47433,2022-04-03,5.2,--,--,92,5.2,0.0,0.0,92.0,2021
s47433,2022-04-04,4.3,--,--,86,4.3,0.0,0.0,86.0,2021
s47433,2022-04-05,5.6,--,--,81,5.6,0.0,0.0,81.0,2021
s47433,2022-04-06,4.0,1.0,--,74,4.0,1.0,0.0,74.0,2021
s47433,2022-04-07,2.1,0.5,1,72,2.1,0.5,1.0,72.0,2021
s47433,2022-04-08,3.1,1.0,1,70,3.1,1.0,1.0,70.0,2021
s47433,2022-04-09,7.3,1.0,--,64,7.3,1.0,0.0,64.0,2021
s47433,2022-04-10,8.1,--,--,55,8.1,0.0,0.0,55.0,2021
s47433,2022-04-11,12.0,--,--,45,12.0,0.0,0.0,45.0,2021
s47433,2022-04-12,10.6,1.5,--,34,10.6,1.5,0.0,34.0,2021
s47433,2022-04-13,4.3,0.5,--,23,4.3,0.5,0.0,23.0,2021
s47433,2022-04-14,4.2,--,--,19,4.2,0.0,0.0,19.0,2021
s47433,2022-04-15,4.5,--,--,14,4.5,0.0,0.0,14.0,2021
s47433,2022-04-16,4.0,--,--,9,4.0,0.0,0.0,9.0,2021
s47433,2022-04-17,6.3,--,--,1,6.3,0.0,0.0,1.0,2021
s47433,2022-04-18,5.8,1.0,--,--,5.8,1.0,0.0,0.0,2021
s47433,2022-04-19,5.0,--,--,--,5.0,0.0,0.0,0.0,2021
s47433,2022-04-20,9.5,--,--,--,9.5,0.0,0.0,0.0,2021
s47433,2022-04-21,13.9,--,--,--,13.9,0.0,0.0,0.0,2021
s47433,2022-04-22,12.0,8.0,--,--,12.0,8.0,0.0,0.0,2021
s47433,2022-04-23,7.4,0.0,--,--,7.4,0.0,0.0,0.0,2021
s47433,2022-04-24,9.6,--,--,--,9.6,0.0,0.0,0.0,2021
s47433,2022-04-25,10.8,--,--,--,10.8,0.0,0.0,0.0,2021
s47433,2022-04-26,13.7,0.0,--,--,13.7,0.0,0.0,0.0,2021
s47433,2022-04-27,9.4,0.0,--,--,9.4,0.0,0.0,0.0,2021
s47433,2022-04-28,8.2,--,--,--,8.2,0.0,0.0,0.0,2021
s47433,2022-04-29,6.3,--,--,--,6.3,0.0,0.0,0.0,2021
s47433,2022-04-30,6.8,--,--,--,6.8,0.0,0.0,0.0,2021
s47433,2022-11-01,11.5,2.0,--,--,11.5,2.0,0.0,0.0,2022
s47433,2022-11-02,7.8,2.5,--,--,7.8,2.5,0.0,0.0,2022
s47433,2022-11-03,5.8,5.5,--,--,5.8,5.5,0.0,0.0,2022
s47433,2022-11-04,4.1,0.0,--,--,4.1,0.0,0.0,0.0,2022
s47433,2022-11-05,4.3,0.0,--,--,4.3,0.0,0.0,0.0,2022
s47433,2022-11-06,5.6,0.0,--,--,5.6,0.0,0.0,0.0,2022
s47433,2022-11-07,2.5,--,--,--,2.5,0.0,0.0,0.0,2022
s47433,2022-11-08,1.7,1.5,--,--,1.7,1.5,0.0,0.0,2022
s47433,2022-11-09,7.1,--,--,--,7.1,0.0,0.0,0.0,2022
s47433,2022-11-10,7.6,--,--,--,7.6,0.0,0.0,0.0,2022
s47433,2022-11-11,2.1,--,--,--,2.1,0.0,0.0,0.0,2022
s47433,2022-11-12,8.8,--,--,--,8.8,0.0,0.0,0.0,2022
s47433,2022-11-13,10.8,40.5,--,--,10.8,40.5,0.0,0.0,2022
s47433,2022-11-14,3.7,6.0,--,--,3.7,6.0,0.0,0.0,2022
s47433,2022-11-15,3.1,1.5,--,--,3.1,1.5,0.0,0.0,2022
s47433,2022-11-16,0.2,16.0,1,1,0.2,16.0,1.0,1.0,2022
s47433,2022-11-17,0.1,9.5,6,7,0.1,9.5,6.0,7.0,2022
s47433,2022-11-18,1.4,3.5,--,2,1.4,3.5,0.0,2.0,2022
s47433,2022-11-19,4.3,1.5,--,--,4.3,1.5,0.0,0.0,2022
s47433,2022-11-20,5.6,0.5,--,--,5.6,0.5,0.0,0.0,2022
s47433,2022-11-21,9.7,7.0,--,--,9.7,7.0,0.0,0.0,2022
s47433,2022-11-22,3.4,6.0,--,--,3.4,6.0,0.0,0.0,2022
s47433,2022-11-23,2.4,--,--,--,2.4,0.0,0.0,0.0,2022
s47433,2022-11-24,4.5,0.0,--,--,4.5,0.0,0.0,0.0,2022
s47433,2022-11-25,4.8,--,--,--,4.8,0.0,0.0,0.0,2022
s47433,2022-11-26,7.8,9.5,--,--,7.8,9.5,0.0,0.0,2022
s47433,2022-11-27,0.5,4.0,--,--,0.5,4.0,0.0,0.0,2022
s47433,2022-11-28,1.9,6.5,--,--,1.9,6.5,0.0,0.0,2022
s47433,2022-11-29,9.0,20.5,--,--,9.0,20.5,0.0,0.0,2022
s47433,2022-11-30,-2.0,8.5,21,16,-2.0,8.5,21.0,16.0,2022
s47433,2022-12-01,-6.2,13.0,16,27,-6.2,13.0,16.0,27.0,2022
s47433,2022-12-02,-5.3,8.5,7,30,-5.3,8.5,7.0,30.0,2022
s47433,2022-12-03,-1.5,8.5,14,33,-1.5,8.5,14.0,33.0,2022
s47433,2022-12-04,-4.3,17.0,17,45,-4.3,17.0,17.0,45.0,2022
s47433,2022-12-05,-5.5,4.5,3,47,-5.5,4.5,3.0,47.0,2022
s47433,2022-12-06,-3.5,0.5,--,43,-3.5,0.5,0.0,43.0,2022
s47433,2022-12-07,-1.9,4.0,10,41,-1.9,4.0,10.0,41.0,2022
s47433,2022-12-08,-3.3,33.0,35,75,-3.3,33.0,35.0,75.0,2022
s47433,2022-12-09,-2.5,4.0,3,76,-2.5,4.0,3.0,76.0,2022
s47433,2022-12-10,-3.1,5.5,5,67,-3.1,5.5,5.0,67.0,2022
s47433,2022-12-11,-3.0,4.0,8,67,-3.0,4.0,8.0,67.0,2022
s47433,2022-12-12,-3.8,0.5,--,66,-3.8,0.5,0.0,66.0,2022
s47433,2022-12-13,2.5,10.5,6,58,2.5,10.5,6.0,58.0,2022
s47433,2022-12-14,-6.0,18.0,23,67,-6.0,18.0,23.0,67.0,2022
s47433,2022-12-15,-6.4,8.5,3,67,-6.4,8.5,3.0,67.0,2022
s47433,2022-12-16,-6.9,6.0,7,65,-6.9,6.0,7.0,65.0,2022
s47433,2022-12-17,-5.8,4.5,8,67,-5.8,4.5,8.0,67.0,2022
s47433,2022-12-18,-7.3,11.0,10,75,-7.3,11.0,10.0,75.0,2022
s47433,2022-12-19,-7.6,13.0,13,85,-7.6,13.0,13.0,85.0,2022
s47433,2022-12-20,-5.4,4.5,5,86,-5.4,4.5,5.0,86.0,2022
s47433,2022-12-21,-4.0,0.0,--,82,-4.0,0.0,0.0,82.0,2022
s47433,2022-12-22,0.5,2.0,--,73,0.5,2.0,0.0,73.0,2022
s47433,2022-12-23,0.4,21.5,20,74,0.4,21.5,20.0,74.0,2022
s47433,2022-12-24,0.7,20.5,13,82,0.7,20.5,13.0,82.0,2022
s47433,2022-12-25,0.1,18.5,18,99,0.1,18.5,18.0,99.0,2022
s47433,2022-12-26,0.8,15.0,4,102,0.8,15.0,4.0,102.0,2022
s47433,2022-12-27,0.5,0.5,1,92,0.5,0.5,1.0,92.0,2022
s47433,2022-12-28,-1.9,1.0,4,90,-1.9,1.0,4.0,90.0,2022
s47433,2022-12-29,-4.8,15.0,21,108,-4.8,15.0,21.0,108.0,2022
s47433,2022-12-30,-4.1,8.5,14,118,-4.1,8.5,14.0,118.0,2022
s47433,2022-12-31,-2.1,0.0,1,116,-2.1,0.0,1.0,116.0,2022
s47433,2023-01-01,-3.4,9.0,11,116,-3.4,9.0,11.0,116.0,2022
s47433,2023-01-02,-8.8,21.5,25,137,-8.8,21.5,25.0,137.0,2022
s47433,2023-01-03,-7.7,15.0,9,143,-7.7,15.0,9.0,143.0,2022
s47433,2023-01-04,-8.3,11.5,13,148,-8.3,11.5,13.0,148.0,2022
s47433,2023-01-05,-4.0,6.5,5,152,-4.0,6.5,5.0,152.0,2022
s47433,2023-01-06,-3.8,2.5,8,147,-3.8,2.5,8.0,147.0,2022
s47433,2023-01-07,-7.5,0.5,1,140,-7.5,0.5,1.0,140.0,2022
s47433,2023-01-08,-9.6,2.0,6,137,-9.6,2.0,6.0,137.0,2022
s47433,2023-01-09,-4.3,6.0,13,145,-4.3,6.0,13.0,145.0,2022
s47433,2023-01-10,-5.5,1.0,--,143,-5.5,1.0,0.0,143.0,2022
s47433,2023-01-11,-3.4,0.0,--,134,-3.4,0.0,0.0,134.0,2022
s47433,2023-01-12,-2.4,--,--,129,-2.4,0.0,0.0,129.0,2022
s47433,2023-01-13,0.4 ),0.0,--,125,0.4,0.0,0.0,125.0,2022
s47433,2023-01-14,0.1,0.5,--,116,0.1,0.5,0.0,116.0,2022
s47433,2023-01-15,-4.1,2.0,11,122,-4.1,2.0,11.0,122.0,2022
s47433,2023-01-16,-6.0,4.5,12,131,-6.0,4.5,12.0,131.0,2022
s47433,2023-01-17,-7.4,8.5,15,136,-7.4,8.5,15.0,136.0,2022
s47433,2023-01-18,-8.3,2.5,5,135,-8.3,2.5,5.0,135.0,2022
s47433,2023-01-19,-8.5,0.5,--,129,-8.5,0.5,0.0,129.0,2022
s47433,2023-01-20,-2.3,5.0,10,130,-2.3,5.0,10.0,130.0,2022
s47433,2023-01-21,-6.6,10.0,22,147,-6.6,10.0,22.0,147.0,2022
s47433,2023-01-22,-7.7,6.0,7,150,-7.7,6.0,7.0,150.0,2022
s47433,2023-01-23,-8.6,3.0,9,149,-8.6,3.0,9.0,149.0,2022
s47433,2023-01-24,-11.1,12.0,20,167,-11.1,12.0,20.0,167.0,2022
s47433,2023-01-25,-12.5,10.5,9,169,-12.5,10.5,9.0,169.0,2022
s47433,2023-01-26,-9.1,11.5,16,175,-9.1,11.5,16.0,175.0,2022
s47433,2023-01-27,-8.2,10.5,17,190,-8.2,10.5,17.0,190.0,2022
s47433,2023-01-28,-9.6,16.0,19,193,-9.6,16.0,19.0,193.0,2022
s47433,2023-01-29,-12.0,1.5,--,188,-12.0,1.5,0.0,188.0,2022
s47433,2023-01-30,-11.5,4.0,6,178,-11.5,4.0,6.0,178.0,2022
s47433,2023-01-31,-7.3,5.5,6,180,-7.3,5.5,6.0,180.0,2022
s47433,2023-02-01,-6.6,8.5,16,188,-6.6,8.5,16.0,188.0,2022
s47433,2023-02-02,-7.2,6.5,9,185,-7.2,6.5,9.0,185.0,2022
s47433,2023-02-03,-7.3,7.0,11,191,-7.3,7.0,11.0,191.0,2022
s47433,2023-02-04,-6.4,7.0,13,197,-6.4,7.0,13.0,197.0,2022
s47433,2023-02-05,-4.8,14.0,20,207,-4.8,14.0,20.0,207.0,2022
s47433,2023-02-06,-2.5,8.0,13,212,-2.5,8.0,13.0,212.0,2022
s47433,2023-02-07,-5.4,2.5,3,210,-5.4,2.5,3.0,210.0,2022
s47433,2023-02-08,-7.7,4.0,7,199,-7.7,4.0,7.0,199.0,2022
s47433,2023-02-09,-7.4,3.0,4,200,-7.4,3.0,4.0,200.0,2022
s47433,2023-02-10,-7.0,0.0,--,195,-7.0,0.0,0.0,195.0,2022
s47433,2023-02-11,-3.8,1.0,4,188,-3.8,1.0,4.0,188.0,2022
s47433,2023-02-12,-1.4,7.0,8,195,-1.4,7.0,8.0,195.0,2022
s47433,2023-02-13,-4.8,4.0,9,197,-4.8,4.0,9.0,197.0,2022
s47433,2023-02-14,-7.1,2.5,5,196,-7.1,2.5,5.0,196.0,2022
s47433,2023-02-15,-9.7,8.0,13,207,-9.7,8.0,13.0,207.0,2022
s47433,2023-02-16,-8.4,5.0,12,212,-8.4,5.0,12.0,212.0,2022
s47433,2023-02-17,-2.4,4.5,3,207,-2.4,4.5,3.0,207.0,2022
s47433,2023-02-18,0.6,0.5,1,201,0.6,0.5,1.0,201.0,2022
s47433,2023-02-19,-1.8,4.0,9,199,-1.8,4.0,9.0,199.0,2022
s47433,2023-02-20,-3.9,12.0,23,218,-3.9,12.0,23.0,218.0,2022
s47433,2023-02-21,-6.6,6.0,6,220,-6.6,6.0,6.0,220.0,2022
s47433,2023-02-22,-5.4,10.0,15,227,-5.4,10.0,15.0,227.0,2022
s47433,2023-02-23,-3.0,11.5,8,226,-3.0,11.5,8.0,226.0,2022
s47433,2023-02-24,-7.3,1.0,3,221,-7.3,1.0,3.0,221.0,2022
s47433,2023-02-25,-3.8,7.0,11,227,-3.8,7.0,11.0,227.0,2022
s47433,2023-02-26,-5.6,9.5,7,230,-5.6,9.5,7.0,230.0,2022
s47433,2023-02-27,-2.7,0.0,--,225,-2.7,0.0,0.0,225.0,2022
s47433,2023-02-28,4.9,--,--,218,4.9,0.0,0.0,218.0,2022
s47433,2023-03-01,2.4,0.5,--,202,2.4,0.5,0.0,202.0,2022
s47433,2023-03-02,-1.0,0.0,--,192,-1.0,0.0,0.0,192.0,2022
s47433,2023-03-03,-2.3,6.0,12,197,-2.3,6.0,12.0,197.0,2022
s47433,2023-03-04,-2.6,4.0,7,203,-2.6,4.0,7.0,203.0,2022
s47433,2023-03-05,-2.9,--,--,193,-2.9,0.0,0.0,193.0,2022
s47433,2023-03-06,2.4,--,--,188,2.4,0.0,0.0,188.0,2022
s47433,2023-03-07,4.7,--,--,180,4.7,0.0,0.0,180.0,2022
s47433,2023-03-08,3.0,--,--,168,3.0,0.0,0.0,168.0,2022
s47433,2023-03-09,1.5,0.0,--,159,1.5,0.0,0.0,159.0,2022
s47433,2023-03-10,3.4,8.0,--,154,3.4,8.0,0.0,154.0,2022
s47433,2023-03-11,1.6,--,--,149,1.6,0.0,0.0,149.0,2022
s47433,2023-03-12,2.9,--,--,146,2.9,0.0,0.0,146.0,2022
s47433,2023-03-13,4.7,13.0,--,140,4.7,13.0,0.0,140.0,2022
s47433,2023-03-14,-0.6,0.5,1,133,-0.6,0.5,1.0,133.0,2022
s47433,2023-03-15,2.2,--,--,131,2.2,0.0,0.0,131.0,2022
s47433,2023-03-16,3.0,3.5,--,128,3.0,3.5,0.0,128.0,2022
s47433,2023-03-17,0.3,1.0,3,126,0.3,1.0,3.0,126.0,2022
s47433,2023-03-18,0.9,0.0,1,125,0.9,0.0,1.0,125.0,2022
s47433,2023-03-19,1.4,0.0,--,121,1.4,0.0,0.0,121.0,2022
s47433,2023-03-20,3.4,--,--,117,3.4,0.0,0.0,117.0,2022
s47433,2023-03-21,5.3,--,--,113,5.3,0.0,0.0,113.0,2022
